status,title,normalized_title,doi,openalex_id,arxiv_id,published_date,criteria_hash,source,updated_at,round
include,A Survey on Dialogue Summarization: Recent Advances and New Frontiers,asurveyondialoguesummarization:recentadvancesandnewfrontiers,10.48550/arxiv.2107.03175,,2107.03175,2021-07-07,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,Abstractive Meeting Summarization: A Survey,abstractivemeetingsummarization:asurvey,10.48550/arxiv.2208.04163,,2208.04163,2022-08-08,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,"Taxonomy of Abstractive Dialogue Summarization: Scenarios, Approaches and Future Directions","taxonomyofabstractivedialoguesummarization:scenarios,approachesandfuturedirections",10.48550/arxiv.2210.09894,,2210.09894,2022-10-18,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,Meeting Summarization: A Survey of the State of the Art,meetingsummarization:asurveyofthestateoftheart,10.48550/arxiv.2212.08206,,2212.08206,2022-12-16,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,Coreference-Aware Dialogue Summarization,coreference-awaredialoguesummarization,10.48550/arxiv.2106.08556,,2106.08556,2021-06-16,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,CSDS: A Fine-Grained Chinese Dataset for Customer Service Dialogue Summarization,csds:afine-grainedchinesedatasetforcustomerservicedialoguesummarization,10.48550/arxiv.2108.13139,,2108.13139,2021-08-30,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,An Exploratory Study on Long Dialogue Summarization: What Works and What's Next,anexploratorystudyonlongdialoguesummarization:whatworksandwhat'snext,10.48550/arxiv.2109.04609,,2109.04609,2021-09-10,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,A Bag of Tricks for Dialogue Summarization,abagoftricksfordialoguesummarization,10.48550/arxiv.2109.08232,,2109.08232,2021-09-16,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,Dialogue Inspectional Summarization with Factual Inconsistency Awareness,dialogueinspectionalsummarizationwithfactualinconsistencyawareness,10.48550/arxiv.2111.03284,,2111.03284,2021-11-05,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,CONFIT: Toward Faithful Dialogue Summarization with Linguistically-Informed Contrastive Fine-tuning,confit:towardfaithfuldialoguesummarizationwithlinguistically-informedcontrastivefine-tuning,10.18653/v1/2022.naacl-main.415,,2112.08713,2021-12-16,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,Effectiveness of French Language Models on Abstractive Dialogue Summarization Task,effectivenessoffrenchlanguagemodelsonabstractivedialoguesummarizationtask,10.48550/arxiv.2207.08305,https://openalex.org/w4286233511,2207.08305,2022-07-17,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,snowball_review,2026-02-02T18:10:18.978285+00:00,1
include,A Focused Study on Sequence Length for Dialogue Summarization,afocusedstudyonsequencelengthfordialoguesummarization,10.48550/arxiv.2209.11910,,2209.11910,2022-09-24,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
include,Analyzing and Evaluating Faithfulness in Dialogue Summarization,analyzingandevaluatingfaithfulnessindialoguesummarization,10.48550/arxiv.2210.11777,,2210.11777,2022-10-21,be9a31b98086d787f618557fa73340d5c94439854b4c0d03b0e2ac7e050db874,base_review,2026-02-02T18:08:02.638139+00:00,0
