openalex_id,doi,title,abstract,referenced_works,publication_date
https://openalex.org/W4407198750,https://doi.org/10.1109/gccit63234.2024.10862470,Automatic Topic Classification And Document Clustering Using Lda Based Machine Learning Techniques,,"['https://openalex.org/W4221054978', 'https://openalex.org/W3038076267', 'https://openalex.org/W4362658412', 'https://openalex.org/W4315815723', 'https://openalex.org/W4311617198', 'https://openalex.org/W6849127047', 'https://openalex.org/W4283459031', 'https://openalex.org/W6848203631', 'https://openalex.org/W6794364086', 'https://openalex.org/W6803402640', 'https://openalex.org/W3217600605', 'https://openalex.org/W6798267417', 'https://openalex.org/W6809374370', 'https://openalex.org/W6810378325', 'https://openalex.org/W6791311214', 'https://openalex.org/W3135143565', 'https://openalex.org/W6784708289', 'https://openalex.org/W3109434413', 'https://openalex.org/W6785005943']",2024-10-25
https://openalex.org/W4399418461,https://doi.org/10.1145/3652583.3657586,Mapping the Audio Landscape for Innovative Music Sample Generation,"This paper introduces the Generative Sample Map (GESAM), a novel two-stage unsupervised learning framework capable of generating high-quality and expressive audio samples for music production. Recent generative approaches based on language models rely on text prompts as conditions. However, fine nuances in musical audio samples can hardly be described in the modality of text. For addressing this shortcoming, we propose to learn a highly descriptive latent 2D audio map by a Variational Autoencoder (VAE) which is then utilized for conditioning a Transformer model. We demonstrate the Transformer model's ability to achieve high generation quality and compare its performance against two baseline models. By selecting points on the map that compresses the manifold of the audio training set into 2D, we enable a more natural interaction with the model. We showcase this capability through an interactive demo interface, which is accessible on our website https://limchr.github.io/gesam/","['https://openalex.org/W4318351475', 'https://openalex.org/W4297677272', 'https://openalex.org/W2775487773', 'https://openalex.org/W4309117899', 'https://openalex.org/W3160235471', 'https://openalex.org/W3123097577', 'https://openalex.org/W4380136719', 'https://openalex.org/W4372260516', 'https://openalex.org/W4287271111', 'https://openalex.org/W4301206121', 'https://openalex.org/W4303519914', 'https://openalex.org/W3099378280', 'https://openalex.org/W4311415873', 'https://openalex.org/W4300980117', 'https://openalex.org/W4372341951', 'https://openalex.org/W3136272958', 'https://openalex.org/W3015287975', 'https://openalex.org/W4205137627', 'https://openalex.org/W3093209529', 'https://openalex.org/W2519091744', 'https://openalex.org/W2948211236', 'https://openalex.org/W4372263311', 'https://openalex.org/W4306177919', 'https://openalex.org/W4367359628', 'https://openalex.org/W4297632254', 'https://openalex.org/W4390784372', 'https://openalex.org/W4383646190', 'https://openalex.org/W3099425575', 'https://openalex.org/W2913668833']",2024-05-30
https://openalex.org/W4405115893,https://doi.org/10.5334/tismir.198,BeatNet+: Real‑Time Rhythm Analysis for Diverse Music Audio,"This paper presents a comprehensive study on real-time music rhythm analysis, covering joint beat and downbeat tracking for diverse kinds of music signals. We introduce BeatNet+, a two-stage approach to real-time rhythm analysis built on a previous state-of-the-art method named BeatNet. The main innovation of the proposed method is the auxiliary training strategy that helps the neural network model to learn a representation invariant to the amount of percussive components in the music. Together with other architectural improvements, this strategy significantly improves the model performance for generic music. Another innovation is on the adaptation strategies that help develop real-time rhythm analysis models for challenging music scenarios, including isolated singing voices and non-percussive music. Two adaptation strategies are proposed and experimented with using different neural architectures and training schemes. Comprehensive experiments and comparisons with multiple baselines are conducted, and results show that BeatNet+ achieves superior beat tracking and downbeat tracking F1 scores for generic music, isolated singing voices, and non-percussive audio, with competitive latency and computational complexity. Finally, we release beat and downbeat annotations for two datasets that are designed for other tasks, and revised annotations of three existing datasets. We also release the code repository and pre-trained models on GitHub.","['https://openalex.org/W2895012458', 'https://openalex.org/W2909193097', 'https://openalex.org/W3118825798', 'https://openalex.org/W2402118560', 'https://openalex.org/W2572771584', 'https://openalex.org/W2350911425', 'https://openalex.org/W4390438133', 'https://openalex.org/W3203140070', 'https://openalex.org/W3209984917', 'https://openalex.org/W4385152046', 'https://openalex.org/W3170942659', 'https://openalex.org/W2984379537', 'https://openalex.org/W2160484251', 'https://openalex.org/W3213726885', 'https://openalex.org/W4280498166', 'https://openalex.org/W2555634470', 'https://openalex.org/W2980581183', 'https://openalex.org/W2168300772', 'https://openalex.org/W2773636018', 'https://openalex.org/W2214015592', 'https://openalex.org/W2114640443', 'https://openalex.org/W1519655822', 'https://openalex.org/W1980674027', 'https://openalex.org/W2117330939', 'https://openalex.org/W2156063659', 'https://openalex.org/W3192245760', 'https://openalex.org/W3097162551', 'https://openalex.org/W4293849742', 'https://openalex.org/W3208932618', 'https://openalex.org/W4372260188', 'https://openalex.org/W2016885049', 'https://openalex.org/W4224918587', 'https://openalex.org/W3034573343', 'https://openalex.org/W2463507112', 'https://openalex.org/W2404509795', 'https://openalex.org/W2404298818', 'https://openalex.org/W3217401639', 'https://openalex.org/W3207444892', 'https://openalex.org/W2962750090', 'https://openalex.org/W75292264', 'https://openalex.org/W2103412706', 'https://openalex.org/W3203405879', 'https://openalex.org/W3007433671', 'https://openalex.org/W2133824856', 'https://openalex.org/W4306177919', 'https://openalex.org/W4297847268', 'https://openalex.org/W2359732680', 'https://openalex.org/W3172640350']",2024-01-01
https://openalex.org/W4393029068,https://doi.org/10.1016/j.eswa.2024.123768,A Lightweight Channel and Time Attention Enhanced 1D CNN Model for Environmental Sound Classification,,"['https://openalex.org/W2963838685', 'https://openalex.org/W3111552472', 'https://openalex.org/W2048174296', 'https://openalex.org/W6729831399', 'https://openalex.org/W4213366994', 'https://openalex.org/W2927999579', 'https://openalex.org/W2619623002', 'https://openalex.org/W2751841560', 'https://openalex.org/W2951942899', 'https://openalex.org/W6809864998', 'https://openalex.org/W2905547304', 'https://openalex.org/W2130640900', 'https://openalex.org/W1844944916', 'https://openalex.org/W6728126488', 'https://openalex.org/W2054371124', 'https://openalex.org/W2137343183', 'https://openalex.org/W6810124581', 'https://openalex.org/W6632353264', 'https://openalex.org/W2752782242', 'https://openalex.org/W4311765953', 'https://openalex.org/W3094550259', 'https://openalex.org/W6779503413', 'https://openalex.org/W6745928684', 'https://openalex.org/W2883588054', 'https://openalex.org/W4319158826', 'https://openalex.org/W6850844730', 'https://openalex.org/W3112251627', 'https://openalex.org/W2999819273', 'https://openalex.org/W3022215617', 'https://openalex.org/W2921763313', 'https://openalex.org/W6683545022', 'https://openalex.org/W3080193477', 'https://openalex.org/W3114298706', 'https://openalex.org/W2618553051', 'https://openalex.org/W2295707189', 'https://openalex.org/W6643326691', 'https://openalex.org/W2052666245', 'https://openalex.org/W6751071566', 'https://openalex.org/W2931364255', 'https://openalex.org/W3163593946', 'https://openalex.org/W2509065397', 'https://openalex.org/W2038484192', 'https://openalex.org/W2487315868', 'https://openalex.org/W4378189130', 'https://openalex.org/W4312455265', 'https://openalex.org/W2937047963', 'https://openalex.org/W2976146944', 'https://openalex.org/W6734536791', 'https://openalex.org/W4229333471', 'https://openalex.org/W1978274651', 'https://openalex.org/W2989818023', 'https://openalex.org/W3191309868', 'https://openalex.org/W3005258917', 'https://openalex.org/W2896911561', 'https://openalex.org/W2990982991', 'https://openalex.org/W6840263907', 'https://openalex.org/W6754446152', 'https://openalex.org/W3083566224', 'https://openalex.org/W6850600019', 'https://openalex.org/W4309957268', 'https://openalex.org/W3045062880', 'https://openalex.org/W2768188490', 'https://openalex.org/W4231258871', 'https://openalex.org/W3100031071', 'https://openalex.org/W4221019585', 'https://openalex.org/W4289465850', 'https://openalex.org/W2188703032', 'https://openalex.org/W4293665662', 'https://openalex.org/W2951696358', 'https://openalex.org/W4312048190', 'https://openalex.org/W2641889749', 'https://openalex.org/W2963263347', 'https://openalex.org/W3205475937', 'https://openalex.org/W3196974791', 'https://openalex.org/W3098357269', 'https://openalex.org/W2398826216', 'https://openalex.org/W2759976799', 'https://openalex.org/W4297841518', 'https://openalex.org/W4245804068', 'https://openalex.org/W2616400984']",2024-03-21
https://openalex.org/W4390738640,https://doi.org/10.1109/taslp.2024.3352248,Self-Supervised Audio Teacher-Student Transformer for Both Clip-Level and Frame-Level Tasks,"Self-supervised learning (SSL) has emerged as a popular approach for learning audio representations. One goal of audio self-supervised pre-training is to transfer knowledge to downstream audio tasks, generally including clip-level and frame-level tasks. While frame-level tasks are important for fine-grained acoustic scene/event understanding, prior studies primarily evaluate on clip-level downstream tasks. In order to tackle both clip-level and frame-level tasks, this paper proposes Audio Teacher-Student Transformer (ATST), with a clip-level version (named ATST-Clip) and a frame-level version (named ATST-Frame), responsible for learning clip-level and frame-level representations, respectively. Both methods use a Transformer encoder and a teacher-student training scheme. We have carefully designed a view creation strategy for ATST-Clip and ATST-Frame. Specifically, ATST-Clip uses segment-wise data augmentations, and ATST-Frame integrates frame-wise data augmentations and masking. Experimental results show that our ATST-Frame model obtains state-of-the-art (SOTA) performances on most of the clip-level and frame-level downstream tasks. Especially, it outperforms other models by a large margin on the frame-level sound event detection task. In addition, the performance can be further improved by combining the two models through knowledge distillation.","['https://openalex.org/W6844194202', 'https://openalex.org/W3015949486', 'https://openalex.org/W3162391496', 'https://openalex.org/W3137857706', 'https://openalex.org/W3201143670', 'https://openalex.org/W3206996142', 'https://openalex.org/W4297841853', 'https://openalex.org/W3205550549', 'https://openalex.org/W6840200333', 'https://openalex.org/W6848208918', 'https://openalex.org/W4311137818', 'https://openalex.org/W4310873011', 'https://openalex.org/W2896457183', 'https://openalex.org/W4385245566', 'https://openalex.org/W6810510949', 'https://openalex.org/W4372341324', 'https://openalex.org/W4297841518', 'https://openalex.org/W2593116425', 'https://openalex.org/W3171007011', 'https://openalex.org/W2982223350', 'https://openalex.org/W6780218876', 'https://openalex.org/W3209059054', 'https://openalex.org/W3041561163', 'https://openalex.org/W6810007534', 'https://openalex.org/W3196974791', 'https://openalex.org/W4375869340', 'https://openalex.org/W4313156423', 'https://openalex.org/W6784333009', 'https://openalex.org/W2963542740', 'https://openalex.org/W6745930336', 'https://openalex.org/W6745136726', 'https://openalex.org/W4246193833', 'https://openalex.org/W3159481202', 'https://openalex.org/W6846935845', 'https://openalex.org/W6638523607', 'https://openalex.org/W6809596386', 'https://openalex.org/W3205743929', 'https://openalex.org/W6757817989', 'https://openalex.org/W6726497184', 'https://openalex.org/W2038484192', 'https://openalex.org/W6750665317', 'https://openalex.org/W2726515241', 'https://openalex.org/W6736723571', 'https://openalex.org/W4205689591', 'https://openalex.org/W6796761347', 'https://openalex.org/W2959539607', 'https://openalex.org/W3162999565', 'https://openalex.org/W3015190346', 'https://openalex.org/W2526050071', 'https://openalex.org/W2982343573', 'https://openalex.org/W3006926732', 'https://openalex.org/W4225713393', 'https://openalex.org/W3094550259', 'https://openalex.org/W2973157397', 'https://openalex.org/W4226442948', 'https://openalex.org/W3205475937', 'https://openalex.org/W1494198834', 'https://openalex.org/W6809947431', 'https://openalex.org/W4285483774', 'https://openalex.org/W4297808394', 'https://openalex.org/W4309957268', 'https://openalex.org/W4226165006', 'https://openalex.org/W3094502228', 'https://openalex.org/W4312048190', 'https://openalex.org/W2797583228']",2024-01-01
https://openalex.org/W4393147998,https://doi.org/10.1609/aaai.v38i7.28486,Diverse and Aligned Audio-to-Video Generation via Text-to-Video Model Adaptation,"We consider the task of generating diverse and realistic videos guided by natural audio samples from a wide variety of semantic classes. For this task, the videos are required to be aligned both globally and temporally with the input audio: globally, the input audio is semantically associated with the entire output video, and temporally, each segment of the input audio is associated with a corresponding segment of that video. We utilize an existing text-conditioned video generation model and a pre-trained audio encoder model. The proposed method is based on a lightweight adaptor network, which learns to map the audio-based representation to the input representation expected by the text-to-video generation model. As such, it also enables video generation conditioned on text, audio, and, for the first time as far as we can ascertain, on both text and audio. We validate our method extensively on three datasets demonstrating significant semantic diversity of audio-video samples and further propose a novel evaluation metric (AV-Align) to assess the alignment of generated videos with input audio samples. AV-Align is based on the detection and comparison of energy peaks in both modalities. In comparison to recent state-of-the-art approaches, our method generates videos that are better aligned with the input sound, both with respect to content and temporal axis. We also show that videos produced by our method present higher visual quality and are more diverse. Code and samples are available at: https://pages.cs.huji.ac.il/adiyoss-lab/TempoTokens/.","['https://openalex.org/W2904913586', 'https://openalex.org/W6803988721', 'https://openalex.org/W3113172960', 'https://openalex.org/W3110013267', 'https://openalex.org/W6776074830', 'https://openalex.org/W6736965957', 'https://openalex.org/W4224951336', 'https://openalex.org/W3111551570', 'https://openalex.org/W6810561959', 'https://openalex.org/W4226373173', 'https://openalex.org/W2593116425', 'https://openalex.org/W4225620083', 'https://openalex.org/W6779823529', 'https://openalex.org/W6634713522', 'https://openalex.org/W6779753537', 'https://openalex.org/W6810340843', 'https://openalex.org/W4226125322', 'https://openalex.org/W4283818626', 'https://openalex.org/W4226317937', 'https://openalex.org/W4312052147', 'https://openalex.org/W6761417287', 'https://openalex.org/W4308613617', 'https://openalex.org/W2887256099', 'https://openalex.org/W6600741150', 'https://openalex.org/W6803340982', 'https://openalex.org/W3036167779', 'https://openalex.org/W4300980117', 'https://openalex.org/W4384918448', 'https://openalex.org/W4312048190', 'https://openalex.org/W24089286', 'https://openalex.org/W4313679638', 'https://openalex.org/W3015371781', 'https://openalex.org/W4226282829', 'https://openalex.org/W2963821905', 'https://openalex.org/W4377865046', 'https://openalex.org/W4303441850', 'https://openalex.org/W1522734439', 'https://openalex.org/W4386075767', 'https://openalex.org/W4386076280', 'https://openalex.org/W3165922361', 'https://openalex.org/W4312282373', 'https://openalex.org/W4322718191', 'https://openalex.org/W4292779060', 'https://openalex.org/W4281485151', 'https://openalex.org/W3166396011', 'https://openalex.org/W4380136719', 'https://openalex.org/W2964218959', 'https://openalex.org/W4213286388', 'https://openalex.org/W1578285471', 'https://openalex.org/W4284898017', 'https://openalex.org/W3203982370', 'https://openalex.org/W4377865102', 'https://openalex.org/W4309957684', 'https://openalex.org/W4312933868', 'https://openalex.org/W4372348103', 'https://openalex.org/W4385848606', 'https://openalex.org/W4283388932', 'https://openalex.org/W4312633146', 'https://openalex.org/W3036125056', 'https://openalex.org/W2951611190', 'https://openalex.org/W4224035735', 'https://openalex.org/W4303440777', 'https://openalex.org/W4298185919', 'https://openalex.org/W3157199281', 'https://openalex.org/W2963066677', 'https://openalex.org/W4287551327', 'https://openalex.org/W2902437806', 'https://openalex.org/W4312655926']",2024-03-24
https://openalex.org/W4392904001,https://doi.org/10.1109/icassp48485.2024.10446348,CED: Consistent Ensemble Distillation for Audio Tagging,"Augmentation and knowledge distillation (KD) are well-established techniques employed in audio classification tasks, aimed at enhancing performance and reducing model sizes on the widely recognized Audioset (AS) benchmark. Although both techniques are effective individually, their combined use, called consistent teaching, hasn't been explored before. This paper proposes CED, a simple training framework that distils student models from large teacher ensembles with consistent teaching. To achieve this, CED efficiently stores logits as well as the augmentation methods on disk, making it scalable to large-scale datasets. Central to CED's efficacy is its label-free nature, meaning that only the stored logits are used for the optimization of a student model only requiring 0.3% additional disk space for AS. The study trains various transformer-based models, including a 10M parameter model achieving a 49.0 mean average precision (mAP) on AS. Pretrained models and code are available online.","['https://openalex.org/W4308868387', 'https://openalex.org/W4296068594', 'https://openalex.org/W4375869243', 'https://openalex.org/W3196974791', 'https://openalex.org/W4224917059', 'https://openalex.org/W4226442948', 'https://openalex.org/W6847495150', 'https://openalex.org/W3094550259', 'https://openalex.org/W6840200333', 'https://openalex.org/W3170224286', 'https://openalex.org/W4372260403', 'https://openalex.org/W2593116425', 'https://openalex.org/W4312671791', 'https://openalex.org/W6784333009', 'https://openalex.org/W2936774411', 'https://openalex.org/W4307823382', 'https://openalex.org/W4372260579', 'https://openalex.org/W6802298259', 'https://openalex.org/W6766978945', 'https://openalex.org/W4375869340', 'https://openalex.org/W4379251221', 'https://openalex.org/W6809947431', 'https://openalex.org/W4311731188', 'https://openalex.org/W2747329762', 'https://openalex.org/W4402112408', 'https://openalex.org/W4212774754', 'https://openalex.org/W4312048190', 'https://openalex.org/W4295312788']",2024-03-18
https://openalex.org/W4399146361,https://doi.org/10.1109/tmm.2024.3405622,BAVS: Bootstrapping Audio-Visual Segmentation by Integrating Foundation Knowledge,"Given an audio-visual pair, audio-visual segmentation (AVS) aims to locate sounding sources by predicting pixel-wise maps. Previous methods assume that each sound component in an audio signal always has a visual counterpart in the image. However, this assumption overlooks that off-screen sounds and background noise often contaminate the audio recordings in real-world scenarios. They impose significant challenges on building a consistent semantic mapping between audio and visual signals for AVS models and thus impede precise sound localization. In this work, we propose a two-stage bootstrapping audio-visual segmentation framework by incorporating multi-modal foundation knowledge <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""><tex-math notation=""LaTeX"">$^{1}$</tex-math></inline-formula> In a nutshell, our BAVS is designed to eliminate the interference of background noise or off-screen sounds in segmentation by establishing the audio-visual correspondences in an explicit manner. In the first stage, we employ a segmentation model to localize potential sounding objects from visual data without being affected by contaminated audio signals. Meanwhile, we also utilize a foundation audio classification model to discern audio semantics. Considering the audio tags provided by the audio foundation model are noisy, associating object masks with audio tags is not trivial. Thus, in the second stage, we develop an audio-visual semantic integration strategy (AVIS) to localize the authentic-sounding objects. Here, we construct an audio-visual tree based on the hierarchical correspondence between sounds and object categories. We then examine the label concurrency between the localized objects and classified audio tags by tracing the audio-visual tree. With AVIS, we can effectively segment real-sounding objects. Extensive experiments demonstrate the superiority of our method on AVS datasets, particularly in scenarios involving background noise. Our project website is <uri xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">https://yenanliu.github.io/AVSS.github.io/</uri> .","['https://openalex.org/W4403386295', 'https://openalex.org/W2102811829', 'https://openalex.org/W2004244725', 'https://openalex.org/W2140647972', 'https://openalex.org/W3214311327', 'https://openalex.org/W4210416950', 'https://openalex.org/W2964011431', 'https://openalex.org/W4367279925', 'https://openalex.org/W2030445831', 'https://openalex.org/W2065274193', 'https://openalex.org/W2918984654', 'https://openalex.org/W2969987364', 'https://openalex.org/W4399206662', 'https://openalex.org/W4221167476', 'https://openalex.org/W6843326755', 'https://openalex.org/W4319300806', 'https://openalex.org/W4390872864', 'https://openalex.org/W3175514052', 'https://openalex.org/W4309660795', 'https://openalex.org/W6851397930', 'https://openalex.org/W2963680395', 'https://openalex.org/W4312653918', 'https://openalex.org/W4213271552', 'https://openalex.org/W6809915981', 'https://openalex.org/W3170088426', 'https://openalex.org/W4224925617', 'https://openalex.org/W4387969495', 'https://openalex.org/W6786183582', 'https://openalex.org/W3093418761', 'https://openalex.org/W2963150697', 'https://openalex.org/W1901129140', 'https://openalex.org/W2955058313', 'https://openalex.org/W3165745140', 'https://openalex.org/W4312815172', 'https://openalex.org/W4386071792', 'https://openalex.org/W6798837711', 'https://openalex.org/W6850480200', 'https://openalex.org/W6691431627', 'https://openalex.org/W6848208918', 'https://openalex.org/W2593116425', 'https://openalex.org/W2963351448', 'https://openalex.org/W2962914239', 'https://openalex.org/W3138516171', 'https://openalex.org/W3131500599', 'https://openalex.org/W2194775991', 'https://openalex.org/W2117539524', 'https://openalex.org/W6631190155', 'https://openalex.org/W2031489346', 'https://openalex.org/W3015371781', 'https://openalex.org/W4296594718', 'https://openalex.org/W3104749918', 'https://openalex.org/W3213165621', 'https://openalex.org/W4324319985', 'https://openalex.org/W4323556857', 'https://openalex.org/W4312048190', 'https://openalex.org/W1522301498']",2024-01-01
https://openalex.org/W4388240219,https://doi.org/10.1109/tgrs.2023.3329653,SFC-Sup: Robust Two-Stage Underwater Acoustic Target Recognition Method Based on Supervised Contrastive Learning,"This paper presents an underwater acoustic target recognition method to reduce recognition errors in continuous recordings caused by variations in ship operating conditions. The proposed method comprises two-stages: the spectral feature classification and the supervised contrastive learning, and it is called as SFC-Sup as a result in this paper. In the first stage, a new spectral feature classification strategy is designed to choose appropriate feature sets for contrastive learning, based on which an instance discrimination pretext task is created by utilizing different spectral features to capture invariant features across segments under different operating conditions. In the second stage, a dynamic weighted loss function is introduced to guide the joint optimization process in the framework of contrastive learning. Different to existing methods which focus on improving the recognition accuracy by designing features for individual segments, the proposed two-stage method SFC-Sup considers consistent features across diverse segments, which is expected to improve recognition accuracy in a continuous recording. Experimental results demonstrate that in the presence of complex operating conditions, SFC-Sup exhibits superior stability and enhances recognition accuracy by 2.06% compared to state-of-the-art methods.","['https://openalex.org/W2794998842', 'https://openalex.org/W2555107250', 'https://openalex.org/W2792295386', 'https://openalex.org/W2920164921', 'https://openalex.org/W3093961233', 'https://openalex.org/W3157467987', 'https://openalex.org/W2794574871', 'https://openalex.org/W2997819422', 'https://openalex.org/W2967719571', 'https://openalex.org/W1914845144', 'https://openalex.org/W2904801617', 'https://openalex.org/W4288064573', 'https://openalex.org/W4387068156', 'https://openalex.org/W4296211525', 'https://openalex.org/W3173499146', 'https://openalex.org/W2781891981', 'https://openalex.org/W2798961812', 'https://openalex.org/W2890964092', 'https://openalex.org/W3024869864', 'https://openalex.org/W3205635414', 'https://openalex.org/W3015499614', 'https://openalex.org/W3016227692', 'https://openalex.org/W6789403026', 'https://openalex.org/W6780105490', 'https://openalex.org/W3135247824', 'https://openalex.org/W4323767251', 'https://openalex.org/W4309918509', 'https://openalex.org/W3119019295', 'https://openalex.org/W2969080949', 'https://openalex.org/W2561682006', 'https://openalex.org/W2975338200', 'https://openalex.org/W3158291757', 'https://openalex.org/W4292970430', 'https://openalex.org/W4313066531', 'https://openalex.org/W4309627742', 'https://openalex.org/W4309214342', 'https://openalex.org/W4385408259', 'https://openalex.org/W2979294696', 'https://openalex.org/W2905385593', 'https://openalex.org/W2939526242', 'https://openalex.org/W3162983744', 'https://openalex.org/W3118027028', 'https://openalex.org/W4297533961', 'https://openalex.org/W4297829726', 'https://openalex.org/W3172124183', 'https://openalex.org/W4295036571', 'https://openalex.org/W3089280383', 'https://openalex.org/W2096733369', 'https://openalex.org/W4308883846', 'https://openalex.org/W3035524453', 'https://openalex.org/W3171007011', 'https://openalex.org/W6809665764', 'https://openalex.org/W2977117446', 'https://openalex.org/W2787894218', 'https://openalex.org/W6776700526', 'https://openalex.org/W3175613352', 'https://openalex.org/W2765407302', 'https://openalex.org/W6848208918', 'https://openalex.org/W2912899030', 'https://openalex.org/W4312443924', 'https://openalex.org/W2963446712', 'https://openalex.org/W6793164127', 'https://openalex.org/W4221146106', 'https://openalex.org/W3121383166', 'https://openalex.org/W4287372095', 'https://openalex.org/W4312048190', 'https://openalex.org/W3040811551']",2023-01-01
https://openalex.org/W4392904573,https://doi.org/10.1109/icassp48485.2024.10445834,Performance and Energy Balance: A Comprehensive Study of State-of-the-Art Sound Event Detection Systems,International audience,"['https://openalex.org/W6847363464', 'https://openalex.org/W4324116353', 'https://openalex.org/W6852791012', 'https://openalex.org/W6849105126', 'https://openalex.org/W6803922201', 'https://openalex.org/W4312968147', 'https://openalex.org/W3041148953', 'https://openalex.org/W3157218387', 'https://openalex.org/W3214897310', 'https://openalex.org/W4372260244', 'https://openalex.org/W3213101878', 'https://openalex.org/W4375869067', 'https://openalex.org/W2972824267', 'https://openalex.org/W3164703200', 'https://openalex.org/W6780546454', 'https://openalex.org/W3081168214', 'https://openalex.org/W6780411803', 'https://openalex.org/W4221138324', 'https://openalex.org/W2959539607', 'https://openalex.org/W6761988927', 'https://openalex.org/W6854336076', 'https://openalex.org/W6846479224', 'https://openalex.org/W3015190346', 'https://openalex.org/W3162999565', 'https://openalex.org/W6848208918', 'https://openalex.org/W4318351475', 'https://openalex.org/W4380551836', 'https://openalex.org/W4312048190', 'https://openalex.org/W4382491856', 'https://openalex.org/W3109837239', 'https://openalex.org/W4309117899', 'https://openalex.org/W4306706812', 'https://openalex.org/W4287726890']",2024-03-18
