openalex_id,doi,title,abstract,referenced_works,publication_date
https://openalex.org/W4393160744,https://doi.org/10.1609/aaai.v38i18.29991,SayCanPay: Heuristic Planning with Large Language Models Using Learnable Domain Knowledge,"Large Language Models (LLMs) have demonstrated impressive planning abilities due to their vast ""world knowledge"". Yet, obtaining plans that are both feasible (grounded in affordances) and cost-effective (in plan length), remains a challenge, despite recent progress. This contrasts with heuristic planning methods that employ domain knowledge (formalized in action models such as PDDL) and heuristic search to generate feasible, optimal plans. Inspired by this, we propose to combine the power of LLMs and heuristic planning by leveraging the world knowledge of LLMs and the principles of heuristic search. Our approach, SayCanPay, employs LLMs to generate actions (Say) guided by learnable domain knowledge, that evaluates actions' feasibility (Can) and long-term reward/payoff (Pay), and heuristic search to select the best sequence of actions. Our contributions are (1) a novel framing of the LLM planning problem in the context of heuristic planning, (2) integrating grounding and cost-effective elements into the generated plans, and (3) using heuristic search over actions. Our extensive evaluations show that our model surpasses other LLM planning approaches.","['https://openalex.org/W6678231568', 'https://openalex.org/W2897513296', 'https://openalex.org/W2896457183', 'https://openalex.org/W4378767246', 'https://openalex.org/W6786039469', 'https://openalex.org/W4221152848', 'https://openalex.org/W2168359464', 'https://openalex.org/W6849548236', 'https://openalex.org/W3129009457', 'https://openalex.org/W2948589675', 'https://openalex.org/W4360819401', 'https://openalex.org/W2799002257', 'https://openalex.org/W2981852735', 'https://openalex.org/W4297161808', 'https://openalex.org/W3198685994', 'https://openalex.org/W3096099141', 'https://openalex.org/W4286336838', 'https://openalex.org/W4388660746', 'https://openalex.org/W4224912544', 'https://openalex.org/W4394671563', 'https://openalex.org/W4389520747', 'https://openalex.org/W3101355526', 'https://openalex.org/W4307934016', 'https://openalex.org/W4378509449', 'https://openalex.org/W4385473486', 'https://openalex.org/W4386251907', 'https://openalex.org/W4322718191', 'https://openalex.org/W4366999541', 'https://openalex.org/W4383108457', 'https://openalex.org/W4285428875', 'https://openalex.org/W4307079201', 'https://openalex.org/W4322825501', 'https://openalex.org/W4312045619', 'https://openalex.org/W4377130677', 'https://openalex.org/W4383097638', 'https://openalex.org/W4320559489', 'https://openalex.org/W4221158689', 'https://openalex.org/W4288089799', 'https://openalex.org/W4321011818', 'https://openalex.org/W2122054842', 'https://openalex.org/W4297808394', 'https://openalex.org/W4323066451', 'https://openalex.org/W4292119927', 'https://openalex.org/W2973379954', 'https://openalex.org/W3210940825']",2024-03-24
https://openalex.org/W4406120141,https://doi.org/10.1038/s41746-024-01417-w,Multimodal deep ensemble classification system with wearable vibration sensor for detecting throat-related events,"Dysphagia, a swallowing disorder, requires continuous monitoring of throat-related events to obtain comprehensive insights into the patient's pharyngeal and laryngeal functions. However, conventional assessments were performed by medical professionals in clinical settings, limiting persistent monitoring. We demonstrate feasibility of a ubiquitous monitoring system for autonomously detecting throat-related events utilizing a soft skin-attachable throat vibration sensor (STVS). The STVS accurately records throat vibrations without interference from surrounding noise, enabling measurement of subtle sounds such as swallowing. Out of the continuous data stream, we automatically classify events of interest using an ensemble-based deep learning model. The proposed model integrates multiple deep neural networks based on multi-modal acoustic features of throat-related events to enhance robustness and accuracy of classification. The performance of our model outperforms previous studies with a classification accuracy of 95.96%. These results show the potential of wearable solutions for improving dysphagia management and patient outcomes outside of clinical environments.","['https://openalex.org/W1967662809', 'https://openalex.org/W2971784612', 'https://openalex.org/W4385889130', 'https://openalex.org/W2188190481', 'https://openalex.org/W2100387032', 'https://openalex.org/W2162800226', 'https://openalex.org/W4385871822', 'https://openalex.org/W2981047412', 'https://openalex.org/W4390012088', 'https://openalex.org/W4296462521', 'https://openalex.org/W4327546431', 'https://openalex.org/W4389035980', 'https://openalex.org/W2990691150', 'https://openalex.org/W2805927228', 'https://openalex.org/W4386835103', 'https://openalex.org/W3161975008', 'https://openalex.org/W2769435864', 'https://openalex.org/W3185940864', 'https://openalex.org/W2891053383', 'https://openalex.org/W2990016708', 'https://openalex.org/W4316022315', 'https://openalex.org/W4400446910', 'https://openalex.org/W3155723493', 'https://openalex.org/W3186065429', 'https://openalex.org/W3161949382', 'https://openalex.org/W4399728170', 'https://openalex.org/W4200482780', 'https://openalex.org/W4200581517', 'https://openalex.org/W4280547844', 'https://openalex.org/W2507380695', 'https://openalex.org/W2151703098', 'https://openalex.org/W3149839747', 'https://openalex.org/W4385823180', 'https://openalex.org/W3129009457', 'https://openalex.org/W2943858543', 'https://openalex.org/W2004412381', 'https://openalex.org/W2791688502', 'https://openalex.org/W2148594799', 'https://openalex.org/W4310172534', 'https://openalex.org/W2194775991', 'https://openalex.org/W4309028162', 'https://openalex.org/W2962858109', 'https://openalex.org/W3166100196', 'https://openalex.org/W28412257', 'https://openalex.org/W2088794999', 'https://openalex.org/W2911964244', 'https://openalex.org/W2295598076', 'https://openalex.org/W2768348081', 'https://openalex.org/W2056132907', 'https://openalex.org/W1968969471', 'https://openalex.org/W2008056655', 'https://openalex.org/W1601133879', 'https://openalex.org/W3088067841', 'https://openalex.org/W4295513942', 'https://openalex.org/W2954996726', 'https://openalex.org/W4226323522', 'https://openalex.org/W3175301885', 'https://openalex.org/W3176923149']",2025-01-07
https://openalex.org/W4362707416,https://doi.org/10.1145/3585088.3589353,"What Do Children and Parents Want and Perceive in Conversational Agents? Towards Transparent, Trustworthy, Democratized Agents","Historically, researchers have focused on analyzing WEIRD, adult perspectives on technology. This means we may not have technology developed appropriately for children and those from non-WEIRD countries. In this paper, we analyze children and parents from various countries' perspectives on an emerging technology: conversational agents. We aim to better understand participants' trust of agents, partner models, and their ideas of ""ideal future agents"" such that researchers can better design for these users. Additionally, we empower children and parents to program their own agents through educational workshops, and present changes in perceptions as participants create and learn about agents. Results from the study (n=49) included how children felt agents were significantly more human-like, warm, and dependable than parents did, how participants trusted agents more than parents or friends for correct information, how children described their ideal agents as being more artificial than human-like than parents did, and how children tended to focus more on fun features, approachable/friendly features and addressing concerns through agent design than parents did, among other results. We also discuss potential agent design implications of the results, including how designers may be able to best foster appropriate levels of trust towards agents by focusing on designing agents' competence and predictability indicators, as well as increasing transparency in terms of agents' information sources.","['https://openalex.org/W2141766660', 'https://openalex.org/W3163442280', 'https://openalex.org/W2886572631', 'https://openalex.org/W6778883912', 'https://openalex.org/W2135363691', 'https://openalex.org/W4288359812', 'https://openalex.org/W3126382704', 'https://openalex.org/W4225082850', 'https://openalex.org/W3130937151', 'https://openalex.org/W3025165719', 'https://openalex.org/W2089358714', 'https://openalex.org/W2898089993', 'https://openalex.org/W2963026768', 'https://openalex.org/W3012624518', 'https://openalex.org/W2008021971', 'https://openalex.org/W3129009457', 'https://openalex.org/W1119960297', 'https://openalex.org/W2948116819', 'https://openalex.org/W1972753335', 'https://openalex.org/W2123534889', 'https://openalex.org/W2084235337', 'https://openalex.org/W2889495041', 'https://openalex.org/W2967206385', 'https://openalex.org/W3185000777', 'https://openalex.org/W1982451263', 'https://openalex.org/W2084944215', 'https://openalex.org/W2955826451', 'https://openalex.org/W3187653187', 'https://openalex.org/W2160779131', 'https://openalex.org/W6964593435', 'https://openalex.org/W3174968969', 'https://openalex.org/W3177181326', 'https://openalex.org/W4382318433', 'https://openalex.org/W2092969723', 'https://openalex.org/W3134428422', 'https://openalex.org/W3162051685', 'https://openalex.org/W4251560328', 'https://openalex.org/W3162165749', 'https://openalex.org/W1628789162', 'https://openalex.org/W4394671563', 'https://openalex.org/W3205692592']",2023-06-14
https://openalex.org/W4363676804,https://doi.org/10.1080/20551940.2023.2195057,"‘All possible sounds’: speech, music, and the emergence of machine listening","""Machine listening"" is one common term for a fast-growing interdisciplinary field of science and engineering that ""uses signal processing and machine learning to extract useful information from sound"". This article contributes to the critical literature on machine listening by presenting some of its history as a field. From the 1940s to the 1990s, work on artificial intelligence and audio developed along two streams. There was work on speech recognition/understanding, and work in computer music. In the early 1990s, another stream began to emerge. At institutions such as MIT Media Lab and Stanford's CCRMA, researchers started turning towards ""more fundamental problems of audition"". Propelled by work being done by and alongside musicians, speech and music would increasingly be understood by computer scientists as particular sounds within a broader ""auditory scene"". Researchers began to develop machine listening systems for a more diverse range of sounds and classification tasks: often in the service of speech recognition, but also increasingly for their own sake. The soundscape itself was becoming an object of computational concern. Today, the ambition is ""to cover all possible sounds"". That is the aspiration with which we must now contend politically, and which this article sets out to historicise and understand.","['https://openalex.org/W4413288418', 'https://openalex.org/W3045995288', 'https://openalex.org/W4235452281', 'https://openalex.org/W4238227321', 'https://openalex.org/W4236038202', 'https://openalex.org/W4240510634', 'https://openalex.org/W4256399001', 'https://openalex.org/W2068298977', 'https://openalex.org/W2026030136', 'https://openalex.org/W2044222806', 'https://openalex.org/W1977510622', 'https://openalex.org/W2082758173', 'https://openalex.org/W1991139021', 'https://openalex.org/W2889315866', 'https://openalex.org/W3005901320', 'https://openalex.org/W2020259652', 'https://openalex.org/W1001112348', 'https://openalex.org/W2097095326', 'https://openalex.org/W1965419851', 'https://openalex.org/W2159284348', 'https://openalex.org/W4253075065', 'https://openalex.org/W3116838706', 'https://openalex.org/W4399962391', 'https://openalex.org/W2603037960', 'https://openalex.org/W3210970177', 'https://openalex.org/W3185261023', 'https://openalex.org/W6749080293', 'https://openalex.org/W2555769234', 'https://openalex.org/W4236515469', 'https://openalex.org/W2593116425', 'https://openalex.org/W3103677873', 'https://openalex.org/W2153586312', 'https://openalex.org/W1486531642', 'https://openalex.org/W2048914355', 'https://openalex.org/W2103140519', 'https://openalex.org/W4243369708', 'https://openalex.org/W2122979854', 'https://openalex.org/W2505701133', 'https://openalex.org/W4313816055', 'https://openalex.org/W4311226163', 'https://openalex.org/W3129009457', 'https://openalex.org/W6814850485', 'https://openalex.org/W2144037622', 'https://openalex.org/W2070177582', 'https://openalex.org/W2789439097', 'https://openalex.org/W2788049062', 'https://openalex.org/W2141373701', 'https://openalex.org/W2913360400', 'https://openalex.org/W2046972719', 'https://openalex.org/W2612464443', 'https://openalex.org/W2331920492', 'https://openalex.org/W2493882299', 'https://openalex.org/W3023656861', 'https://openalex.org/W2736758126', 'https://openalex.org/W2066629230', 'https://openalex.org/W2566935005', 'https://openalex.org/W2151359505', 'https://openalex.org/W2063789736', 'https://openalex.org/W2643239522', 'https://openalex.org/W2123023349', 'https://openalex.org/W6678067405', 'https://openalex.org/W1977609277', 'https://openalex.org/W1992982563', 'https://openalex.org/W4250902796', 'https://openalex.org/W2943964375', 'https://openalex.org/W4249856834', 'https://openalex.org/W3212209585', 'https://openalex.org/W2002767771', 'https://openalex.org/W4235806191', 'https://openalex.org/W2075979668', 'https://openalex.org/W2062913357', 'https://openalex.org/W4238553276', 'https://openalex.org/W6712155849', 'https://openalex.org/W3140531618', 'https://openalex.org/W2318948281', 'https://openalex.org/W4255453945', 'https://openalex.org/W2955412730', 'https://openalex.org/W1599105370', 'https://openalex.org/W376085715', 'https://openalex.org/W6850607388', 'https://openalex.org/W3147911274', 'https://openalex.org/W4281676013', 'https://openalex.org/W2086384421', 'https://openalex.org/W1505221106', 'https://openalex.org/W2166894917', 'https://openalex.org/W6605752046', 'https://openalex.org/W2037761428', 'https://openalex.org/W122994913', 'https://openalex.org/W4233392025', 'https://openalex.org/W4247784448', 'https://openalex.org/W3213151880', 'https://openalex.org/W2074188409', 'https://openalex.org/W2486063739', 'https://openalex.org/W2492473494', 'https://openalex.org/W2796212141', 'https://openalex.org/W1661086764', 'https://openalex.org/W2944297474', 'https://openalex.org/W1500230234', 'https://openalex.org/W1994675634', 'https://openalex.org/W4233545208', 'https://openalex.org/W2504585274', 'https://openalex.org/W610324613', 'https://openalex.org/W1970185999', 'https://openalex.org/W4360988722', 'https://openalex.org/W2032498967', 'https://openalex.org/W1541647209', 'https://openalex.org/W2805618020', 'https://openalex.org/W2588217777', 'https://openalex.org/W1510737763', 'https://openalex.org/W1585961924', 'https://openalex.org/W2801777706', 'https://openalex.org/W2396542925', 'https://openalex.org/W4242644378', 'https://openalex.org/W2039407780']",2023-04-10
https://openalex.org/W4392791724,https://doi.org/10.1101/2024.03.11.584533,Subject-Agnostic Transformer-Based Neural Speech Decoding from Surface and Depth Electrode Signals,"Abstract Objective This study investigates speech decoding from neural signals captured by intracranial electrodes. Most prior works can only work with electrodes on a 2D grid (i.e., Electrocorticographic or ECoG array) and data from a single patient. We aim to design a deep-learning model architecture that can accommodate both surface (ECoG) and depth (stereotactic EEG or sEEG) electrodes. The architecture should allow training on data from multiple participants with large variability in electrode placements and the trained model should perform well on participants unseen during training. Approach We propose a novel transformer-based model architecture named SwinTW that can work with arbitrarily positioned electrodes by leveraging their 3D locations on the cortex rather than their positions on a 2D grid. We train subject-specific models using data from a single participant and multi-patient models exploiting data from multiple participants. Main Results The subject-specific models using only low-density 8×8 ECoG data achieved high decoding Pearson Correlation Coefficient with ground truth spectrogram (PCC=0.817), over N=43 participants, outperforming our prior convolutional ResNet model and the 3D Swin transformer model. Incorporating additional strip, depth, and grid electrodes available in each participant (N=39) led to further improvement (PCC=0.838). For participants with only sEEG electrodes (N=9), subject-specific models still enjoy comparable performance with an average PCC=0.798. The multi-subject models achieved high performance on unseen participants, with an average PCC=0.765 in leave-one-out cross-validation. Significance The proposed SwinTW decoder enables future speech neuropros-theses to utilize any electrode placement that is clinically optimal or feasible for a particular participant, including using only depth electrodes, which are more routinely implanted in chronic neurosurgical procedures. Importantly, the generalizability of the multi-patient models suggests that such a model can be applied to new patients that do not have paired acoustic and neural data, providing an advance in neuroprostheses for people with speech disability, where acoustic-neural training data is not feasible.","['https://openalex.org/W2952609044', 'https://openalex.org/W4225307836', 'https://openalex.org/W3198923947', 'https://openalex.org/W2940585064', 'https://openalex.org/W2076676508', 'https://openalex.org/W2032275524', 'https://openalex.org/W4386815321', 'https://openalex.org/W2991804118', 'https://openalex.org/W4387378260', 'https://openalex.org/W2995233853', 'https://openalex.org/W3130062067', 'https://openalex.org/W2194775991', 'https://openalex.org/W2991284028', 'https://openalex.org/W3008011111', 'https://openalex.org/W3209059054', 'https://openalex.org/W2673183736', 'https://openalex.org/W3206311643', 'https://openalex.org/W4295350540', 'https://openalex.org/W1522301498', 'https://openalex.org/W3210188778', 'https://openalex.org/W4224926216', 'https://openalex.org/W2396366106', 'https://openalex.org/W3129009457', 'https://openalex.org/W4312349930', 'https://openalex.org/W3138516171', 'https://openalex.org/W4312560592', 'https://openalex.org/W4210261408', 'https://openalex.org/W3013691153', 'https://openalex.org/W4386100600', 'https://openalex.org/W2964982538', 'https://openalex.org/W3180220247', 'https://openalex.org/W2145817563', 'https://openalex.org/W2761532371', 'https://openalex.org/W2150823344', 'https://openalex.org/W2768153200', 'https://openalex.org/W4388842084', 'https://openalex.org/W4372342291', 'https://openalex.org/W3048859947', 'https://openalex.org/W3095432487', 'https://openalex.org/W2918972315', 'https://openalex.org/W2095516539', 'https://openalex.org/W4286462232', 'https://openalex.org/W3028375381', 'https://openalex.org/W4387526256', 'https://openalex.org/W4399722542', 'https://openalex.org/W4404955916']",2024-03-14
https://openalex.org/W3190032417,https://doi.org/10.21437/interspeech.2021-1182,Analyzing Speaker Information in Self-Supervised Models to Improve Zero-Resource Speech Processing,"Contrastive predictive coding (CPC) aims to learn representations of speech by distinguishing future observations from a set of negative examples. Previous work has shown that linear classifiers trained on CPC features can accurately predict speaker and phone labels. However, it is unclear how the features actually capture speaker and phonetic information, and whether it is possible to normalize out the irrelevant details (depending on the downstream task). In this paper, we first show that the per-utterance mean of CPC features captures speaker information to a large extent. Concretely, we find that comparing means performs well on a speaker verification task. Next, probing experiments show that standardizing the features effectively removes speaker information. Based on this observation, we propose a speaker normalization step to improve acoustic unit discovery using K-means clustering of CPC features. Finally, we show that a language model trained on the resulting units achieves some of the best results in the ZeroSpeech2021~Challenge.","['https://openalex.org/W3158802984', 'https://openalex.org/W3093096176', 'https://openalex.org/W2963620343', 'https://openalex.org/W3099782249', 'https://openalex.org/W3125709657', 'https://openalex.org/W3003875258', 'https://openalex.org/W2973026522', 'https://openalex.org/W2347098582', 'https://openalex.org/W2138615112', 'https://openalex.org/W2962689740', 'https://openalex.org/W2996728628', 'https://openalex.org/W2766049740', 'https://openalex.org/W3110458199', 'https://openalex.org/W2113054345', 'https://openalex.org/W2395899413', 'https://openalex.org/W2889326414', 'https://openalex.org/W2842511635', 'https://openalex.org/W2972943112', 'https://openalex.org/W3129009457', 'https://openalex.org/W2117041980', 'https://openalex.org/W1494198834', 'https://openalex.org/W2787447541', 'https://openalex.org/W3197381195', 'https://openalex.org/W2996383576', 'https://openalex.org/W3197349023', 'https://openalex.org/W2025482506', 'https://openalex.org/W2014307400', 'https://openalex.org/W3095361818', 'https://openalex.org/W2747874407', 'https://openalex.org/W2100768664']",2021-08-27
https://openalex.org/W3201728305,https://doi.org/10.48550/arxiv.2107.13349,Self-Supervised Inference in State-Space Models,"We perform approximate inference in state-space models with nonlinear state transitions. Without parameterizing a generative model, we apply Bayesian update formulas using a local linearity approximation parameterized by neural networks. This comes accompanied by a maximum likelihood objective that requires no supervision via uncorrupt observations or ground truth latent states. The optimization backpropagates through a recursion similar to the classical Kalman filter and smoother. Additionally, using an approximate conditional independence, we can perform smoothing without having to parameterize a separate model. In scientific applications, domain knowledge can give a linear approximation of the latent transition maps, which we can easily incorporate into our model. Usage of such domain knowledge is reflected in excellent results (despite our model's simplicity) on the chaotic Lorenz system compared to fully supervised and variational inference methods. Finally, we show competitive results on an audio denoising experiment.","['https://openalex.org/W2094227853', 'https://openalex.org/W3023201122', 'https://openalex.org/W1981364618', 'https://openalex.org/W2970375342', 'https://openalex.org/W2157331557', 'https://openalex.org/W2963074410', 'https://openalex.org/W2120615054', 'https://openalex.org/W2105934661', 'https://openalex.org/W2889928394', 'https://openalex.org/W2101675075', 'https://openalex.org/W2271522117', 'https://openalex.org/W2993076031', 'https://openalex.org/W2912752824', 'https://openalex.org/W2070047061', 'https://openalex.org/W2963166838', 'https://openalex.org/W2470207857', 'https://openalex.org/W2797583228', 'https://openalex.org/W3129009457', 'https://openalex.org/W2962986780', 'https://openalex.org/W2963714390', 'https://openalex.org/W2962695963', 'https://openalex.org/W2914204228', 'https://openalex.org/W2064675550', 'https://openalex.org/W2143612262', 'https://openalex.org/W2176035349', 'https://openalex.org/W2964232608', 'https://openalex.org/W2964204553', 'https://openalex.org/W2963403868', 'https://openalex.org/W2902857081', 'https://openalex.org/W2971082124', 'https://openalex.org/W2964334616', 'https://openalex.org/W3093010610', 'https://openalex.org/W2154368244']",2021-07-28
https://openalex.org/W3204516855,https://doi.org/10.48550/arxiv.2110.02782,How BPE Affects Memorization in Transformers,"Training data memorization in NLP can both be beneficial (e.g., closed-book QA) and undesirable (personal data extraction). In any case, successful model training requires a non-trivial amount of memorization to store word spellings, various linguistic idiosyncrasies and common knowledge. However, little is known about what affects the memorization behavior of NLP models, as the field tends to focus on the equally important question of generalization. In this work, we demonstrate that the size of the subword vocabulary learned by Byte-Pair Encoding (BPE) greatly affects both ability and tendency of standard Transformer models to memorize training data, even when we control for the number of learned parameters. We find that with a large subword vocabulary size, Transformer models fit random mappings more easily and are more vulnerable to membership inference attacks. Similarly, given a prompt, Transformer-based language models with large subword vocabularies reproduce the training data more often. We conjecture this effect is caused by reduction in the sequences' length that happens as the BPE vocabulary grows. Our findings can allow a more informed choice of hyper-parameters, that is better tailored for a particular use-case.","['https://openalex.org/W2972433021', 'https://openalex.org/W3102659883', 'https://openalex.org/W2996094825', 'https://openalex.org/W2101105183', 'https://openalex.org/W2571532437', 'https://openalex.org/W3214210379', 'https://openalex.org/W2971869958', 'https://openalex.org/W3087835661', 'https://openalex.org/W2962784628', 'https://openalex.org/W3129009457', 'https://openalex.org/W3017374003', 'https://openalex.org/W3126425262', 'https://openalex.org/W3030163527', 'https://openalex.org/W2950220847', 'https://openalex.org/W3000779003', 'https://openalex.org/W2981852735', 'https://openalex.org/W2951528897', 'https://openalex.org/W2890077576', 'https://openalex.org/W2963430224', 'https://openalex.org/W3119000810', 'https://openalex.org/W3192500523', 'https://openalex.org/W3047026265', 'https://openalex.org/W2970971581', 'https://openalex.org/W2997731766', 'https://openalex.org/W2986378306', 'https://openalex.org/W3169369929', 'https://openalex.org/W2009525093', 'https://openalex.org/W3035168240', 'https://openalex.org/W2773466258', 'https://openalex.org/W3132730484', 'https://openalex.org/W2795435272', 'https://openalex.org/W2963250244', 'https://openalex.org/W2535690855', 'https://openalex.org/W3152698349', 'https://openalex.org/W2933138175', 'https://openalex.org/W2945767825', 'https://openalex.org/W2995154514', 'https://openalex.org/W3198320319', 'https://openalex.org/W3198217962', 'https://openalex.org/W1522301498', 'https://openalex.org/W2963005248', 'https://openalex.org/W2947029787', 'https://openalex.org/W2965373594', 'https://openalex.org/W3082928416', 'https://openalex.org/W1553508775', 'https://openalex.org/W1840435438', 'https://openalex.org/W2972324944', 'https://openalex.org/W2079656678', 'https://openalex.org/W2972498556', 'https://openalex.org/W3177804148', 'https://openalex.org/W3038040931', 'https://openalex.org/W2963267799', 'https://openalex.org/W3170672407', 'https://openalex.org/W1991762558', 'https://openalex.org/W2952744660', 'https://openalex.org/W2963341956', 'https://openalex.org/W3104739822', 'https://openalex.org/W3035207248', 'https://openalex.org/W2144862731', 'https://openalex.org/W3190860428', 'https://openalex.org/W2798663534', 'https://openalex.org/W2626778328']",2021-10-06
https://openalex.org/W3210088932,https://doi.org/10.48550/arxiv.2111.00610,Towards Language Modelling in the Speech Domain Using Sub-word Linguistic Units,"Language models (LMs) for text data have been studied extensively for their usefulness in language generation and other downstream tasks. However, language modelling purely in the speech domain is still a relatively unexplored topic, with traditional speech LMs often depending on auxiliary text LMs for learning distributional aspects of the language. For the English language, these LMs treat words as atomic units, which presents inherent challenges to language modelling in the speech domain. In this paper, we propose a novel LSTM-based generative speech LM that is inspired by the CBOW model and built on linguistic units including syllables and phonemes. This offers better acoustic consistency across utterances in the dataset, as opposed to single melspectrogram frames, or whole words. With a limited dataset, orders of magnitude smaller than that required by contemporary generative models, our model closely approximates babbling speech. We show the effect of training with auxiliary text LMs, multitask learning objectives, and auxiliary articulatory features. Through our experiments, we also highlight some well known, but poorly documented challenges in training generative speech LMs, including the mismatch between the supervised learning objective with which these models are trained such as Mean Squared Error (MSE), and the true objective, which is speech quality. Our experiments provide an early indication that while validation loss and Mel Cepstral Distortion (MCD) are not strongly correlated with generated speech quality, traditional text language modelling metrics like perplexity and next-token-prediction accuracy might be.","['https://openalex.org/W2982223350', 'https://openalex.org/W2963609956', 'https://openalex.org/W2965373594', 'https://openalex.org/W3044438666', 'https://openalex.org/W2996286887', 'https://openalex.org/W179875071', 'https://openalex.org/W3199958362', 'https://openalex.org/W2963341956', 'https://openalex.org/W2973049979', 'https://openalex.org/W3030163527', 'https://openalex.org/W1579838312', 'https://openalex.org/W3095361947', 'https://openalex.org/W3129009457', 'https://openalex.org/W3001279689', 'https://openalex.org/W3134881075', 'https://openalex.org/W2572670101', 'https://openalex.org/W2963403868', 'https://openalex.org/W2962778134', 'https://openalex.org/W8140679', 'https://openalex.org/W1614298861', 'https://openalex.org/W2777448780']",2021-10-31
https://openalex.org/W4396510248,https://doi.org/10.3390/electronics13091726,"Recent Advances in Synthesis and Interaction of Speech, Text, and Vision","In recent years, there has been increasing interest in the conversion of images into audio descriptions. This is a field that lies at the intersection of Computer Vision (CV) and Natural Language Processing (NLP), and it involves various tasks, including creating textual descriptions of images and converting them directly into auditory representations. Another aspect of this field is the synthesis of natural speech from text. This has significant potential to improve accessibility, user experience, and the applications of Artificial Intelligence (AI). In this article, we reviewed a wide range of image-to-audio conversion techniques. Various aspects of image captioning, speech synthesis, and direct image-to-speech conversion have been explored, from fundamental encoder–decoder architectures to more advanced methods such as transformers and adversarial learning. Although the focus of this review is on synthesizing audio descriptions from visual data, the reverse task of creating visual content from natural language descriptions is also covered. This study provides a comprehensive overview of the techniques and methodologies used in these fields and highlights the strengths and weaknesses of each approach. The study emphasizes the importance of various datasets, such as MS COCO, LibriTTS, and VizWiz Captions, which play a critical role in training models, evaluating them, promoting inclusivity, and solving real-world problems. The implications for the future suggest the potential of generating more natural and contextualized audio descriptions, whereas direct image-to-speech tasks provide opportunities for intuitive auditory representations of visual content.","['https://openalex.org/W4299541593', 'https://openalex.org/W2112955368', 'https://openalex.org/W2885959306', 'https://openalex.org/W6765342010', 'https://openalex.org/W3198196812', 'https://openalex.org/W4230559685', 'https://openalex.org/W2996011278', 'https://openalex.org/W2169153920', 'https://openalex.org/W2001538905', 'https://openalex.org/W4292455922', 'https://openalex.org/W2463955103', 'https://openalex.org/W3160100917', 'https://openalex.org/W3165571294', 'https://openalex.org/W3122720459', 'https://openalex.org/W1514535095', 'https://openalex.org/W6739901393', 'https://openalex.org/W6770800577', 'https://openalex.org/W2607151106', 'https://openalex.org/W2963084599', 'https://openalex.org/W2902440562', 'https://openalex.org/W2962968835', 'https://openalex.org/W2604178507', 'https://openalex.org/W3018385214', 'https://openalex.org/W2901988662', 'https://openalex.org/W6640200569', 'https://openalex.org/W1570629387', 'https://openalex.org/W2056191164', 'https://openalex.org/W2150658333', 'https://openalex.org/W133559434', 'https://openalex.org/W1600722501', 'https://openalex.org/W2154920538', 'https://openalex.org/W200094172', 'https://openalex.org/W2145575463', 'https://openalex.org/W175280642', 'https://openalex.org/W344150399', 'https://openalex.org/W3142087749', 'https://openalex.org/W2129142580', 'https://openalex.org/W2102003408', 'https://openalex.org/W2134973740', 'https://openalex.org/W2294797155', 'https://openalex.org/W2806733747', 'https://openalex.org/W1576227399', 'https://openalex.org/W2515943672', 'https://openalex.org/W2963609956', 'https://openalex.org/W3197407562', 'https://openalex.org/W3095990227', 'https://openalex.org/W6748588790', 'https://openalex.org/W3174311593', 'https://openalex.org/W2997208288', 'https://openalex.org/W2969302028', 'https://openalex.org/W2113899393', 'https://openalex.org/W4206865574', 'https://openalex.org/W3155217823', 'https://openalex.org/W3206387123', 'https://openalex.org/W3095909497', 'https://openalex.org/W4389959945', 'https://openalex.org/W3007780968', 'https://openalex.org/W3203245760', 'https://openalex.org/W3199400376', 'https://openalex.org/W4289600032', 'https://openalex.org/W6676497082', 'https://openalex.org/W68733909', 'https://openalex.org/W2185175083', 'https://openalex.org/W1861492603', 'https://openalex.org/W1895989618', 'https://openalex.org/W2963062932', 'https://openalex.org/W2886641317', 'https://openalex.org/W3110019360', 'https://openalex.org/W3095670406', 'https://openalex.org/W3106859150', 'https://openalex.org/W6917585676', 'https://openalex.org/W1494198834', 'https://openalex.org/W2972359262', 'https://openalex.org/W3197824033', 'https://openalex.org/W4297570641', 'https://openalex.org/W3198533616', 'https://openalex.org/W3204379680', 'https://openalex.org/W3155727213', 'https://openalex.org/W2963902314', 'https://openalex.org/W3197064454', 'https://openalex.org/W2962862718', 'https://openalex.org/W4385245566', 'https://openalex.org/W3008618223', 'https://openalex.org/W4320013936', 'https://openalex.org/W2788357188', 'https://openalex.org/W2109586012']",2024-04-30
