openalex_id,doi,title,abstract,referenced_works,publication_date
https://openalex.org/W3166440012,https://doi.org/10.48550/arxiv.2106.05933,"PARP: Prune, Adjust and Re-Prune for Self-Supervised Speech Recognition","Self-supervised speech representation learning (speech SSL) has demonstrated the benefit of scale in learning rich representations for Automatic Speech Recognition (ASR) with limited paired data, such as wav2vec 2.0. We investigate the existence of sparse subnetworks in pre-trained speech SSL models that achieve even better low-resource ASR results. However, directly applying widely adopted pruning methods such as the Lottery Ticket Hypothesis (LTH) is suboptimal in the computational cost needed. Moreover, we show that the discovered subnetworks yield minimal performance gain compared to the original dense network. We present Prune-Adjust-Re-Prune (PARP), which discovers and finetunes subnetworks for much better performance, while only requiring a single downstream ASR finetuning run. PARP is inspired by our surprising observation that subnetworks pruned for pre-training tasks need merely a slight adjustment to achieve a sizeable performance boost in downstream ASR tasks. Extensive experiments on low-resource ASR verify (1) sparse subnetworks exist in mono-lingual/multi-lingual pre-trained speech SSL, and (2) the computational advantage and performance gain of PARP over baseline pruning methods. In particular, on the 10min Librispeech split without LM decoding, PARP discovers subnetworks from wav2vec 2.0 with an absolute 10.9%/12.6% WER decrease compared to the full model. We further demonstrate the effectiveness of PARP via: cross-lingual pruning without any phone recognition degradation, the discovery of a multi-lingual subnetwork for 10 spoken languages in 1 finetuning run, and its applicability to pre-trained BERT/XLNet for natural language tasks.","['https://openalex.org/W3163842642', 'https://openalex.org/W3143035657', 'https://openalex.org/W3160399536', 'https://openalex.org/W3148001440', 'https://openalex.org/W2802201485', 'https://openalex.org/W2982223350', 'https://openalex.org/W2963340922', 'https://openalex.org/W3025165719', 'https://openalex.org/W2971237698', 'https://openalex.org/W2294543795', 'https://openalex.org/W3093579165', 'https://openalex.org/W3098680936', 'https://openalex.org/W3099782249', 'https://openalex.org/W3162665866', 'https://openalex.org/W3178203035', 'https://openalex.org/W3198217962', 'https://openalex.org/W3160405885', 'https://openalex.org/W3035615218', 'https://openalex.org/W1974205368', 'https://openalex.org/W3205032693', 'https://openalex.org/W3112034174', 'https://openalex.org/W2996383576', 'https://openalex.org/W2962965870', 'https://openalex.org/W2963813662', 'https://openalex.org/W3162391496', 'https://openalex.org/W2768501777', 'https://openalex.org/W3163600291', 'https://openalex.org/W3207300132', 'https://openalex.org/W2948130861', 'https://openalex.org/W2608554408', 'https://openalex.org/W2730658205', 'https://openalex.org/W3152519008', 'https://openalex.org/W3021469861', 'https://openalex.org/W3178584664', 'https://openalex.org/W3202278141', 'https://openalex.org/W3147962056', 'https://openalex.org/W2930682606', 'https://openalex.org/W3161223924', 'https://openalex.org/W3157923770', 'https://openalex.org/W3204123830', 'https://openalex.org/W3205533980', 'https://openalex.org/W3104263050', 'https://openalex.org/W2963310665', 'https://openalex.org/W3104136798', 'https://openalex.org/W2975044525', 'https://openalex.org/W3180374548', 'https://openalex.org/W2963981420', 'https://openalex.org/W2972808286', 'https://openalex.org/W2114766824', 'https://openalex.org/W3129009457', 'https://openalex.org/W2972943112', 'https://openalex.org/W3206559778', 'https://openalex.org/W2963674932', 'https://openalex.org/W3040454670', 'https://openalex.org/W3034487470', 'https://openalex.org/W2043422002', 'https://openalex.org/W2888867175', 'https://openalex.org/W3204696009', 'https://openalex.org/W2084910356', 'https://openalex.org/W2125389748', 'https://openalex.org/W3111265704', 'https://openalex.org/W2965862774', 'https://openalex.org/W3167207712', 'https://openalex.org/W3037057938', 'https://openalex.org/W2407115099', 'https://openalex.org/W3197974236', 'https://openalex.org/W3081179222', 'https://openalex.org/W3003875258', 'https://openalex.org/W3166035876', 'https://openalex.org/W3035081900', 'https://openalex.org/W104222852', 'https://openalex.org/W3165666670', 'https://openalex.org/W2963247446', 'https://openalex.org/W3206252155', 'https://openalex.org/W2951569836', 'https://openalex.org/W3144173820', 'https://openalex.org/W2894835365', 'https://openalex.org/W3094550259', 'https://openalex.org/W3162309234', 'https://openalex.org/W3204224625', 'https://openalex.org/W1515156256', 'https://openalex.org/W3104350794', 'https://openalex.org/W3095292526', 'https://openalex.org/W2936481169', 'https://openalex.org/W3193521535', 'https://openalex.org/W3207558756', 'https://openalex.org/W3162649911', 'https://openalex.org/W2963400886', 'https://openalex.org/W3173970713', 'https://openalex.org/W3169320628', 'https://openalex.org/W2988736778', 'https://openalex.org/W3197278374', 'https://openalex.org/W2112984492', 'https://openalex.org/W3140429000', 'https://openalex.org/W3147414526', 'https://openalex.org/W3152884768', 'https://openalex.org/W3038041907', 'https://openalex.org/W3111921445', 'https://openalex.org/W3128478537', 'https://openalex.org/W3160525311', 'https://openalex.org/W3157697407', 'https://openalex.org/W2962813140', 'https://openalex.org/W3041561163', 'https://openalex.org/W3205644108', 'https://openalex.org/W2963503967', 'https://openalex.org/W3001899777', 'https://openalex.org/W2915589364', 'https://openalex.org/W3034234149', 'https://openalex.org/W3022969335', 'https://openalex.org/W2842511635', 'https://openalex.org/W2156700117', 'https://openalex.org/W2291975472', 'https://openalex.org/W3139918052', 'https://openalex.org/W3205710300', 'https://openalex.org/W3087835661', 'https://openalex.org/W2995816250', 'https://openalex.org/W3162868000', 'https://openalex.org/W3024171804', 'https://openalex.org/W3162133897', 'https://openalex.org/W2970120757', 'https://openalex.org/W3096587983', 'https://openalex.org/W3016181583', 'https://openalex.org/W2292087804', 'https://openalex.org/W3093346109']",2021-06-10
https://openalex.org/W3206649123,,Deep Clustering For General-Purpose Audio Representations,"We introduce DECAR, a self-supervised pre-training approach for learning general-purpose audio representations. Our system is based on clustering: it utilizes an offline clustering step to provide target labels that act as pseudo-labels for solving a prediction task. We develop on top of recent advances in self-supervised learning for computer vision and design a lightweight, easy-to-use self-supervised pre-training scheme. We pre-train DECAR embeddings on a balanced subset of the large-scale Audioset dataset and transfer those representations to 9 downstream classification tasks, including speech, music, animal sounds, and acoustic scenes. Furthermore, we conduct ablation studies identifying key design choices and also make all our code and pre-trained models publicly available.","['https://openalex.org/W2606176153', 'https://openalex.org/W2097820631', 'https://openalex.org/W2947454875', 'https://openalex.org/W3162391496', 'https://openalex.org/W2963341956', 'https://openalex.org/W2767754137', 'https://openalex.org/W3099782249', 'https://openalex.org/W2982223350', 'https://openalex.org/W3036224891', 'https://openalex.org/W2883725317', 'https://openalex.org/W3169320628', 'https://openalex.org/W2936774411', 'https://openalex.org/W2926827382', 'https://openalex.org/W3178584664', 'https://openalex.org/W2797583228', 'https://openalex.org/W3006926732', 'https://openalex.org/W2951535099', 'https://openalex.org/W3034978746', 'https://openalex.org/W1494198834', 'https://openalex.org/W2726515241', 'https://openalex.org/W2593116425', 'https://openalex.org/W2883595988', 'https://openalex.org/W2146334809']",2021-10-17
https://openalex.org/W4408346014,https://doi.org/10.1109/icassp49660.2025.10889108,Enhancing Expressive Voice Conversion with Discrete Pitch-Conditioned Flow Matching Model,,"['https://openalex.org/W6762533536', 'https://openalex.org/W6804125026', 'https://openalex.org/W2972659941', 'https://openalex.org/W3163475957', 'https://openalex.org/W6776390925', 'https://openalex.org/W6803547063', 'https://openalex.org/W4372337821', 'https://openalex.org/W6839738141', 'https://openalex.org/W4385822372', 'https://openalex.org/W3210530853', 'https://openalex.org/W4392903591', 'https://openalex.org/W4385823264', 'https://openalex.org/W4402670354', 'https://openalex.org/W3209059054', 'https://openalex.org/W6780218876', 'https://openalex.org/W3213029956', 'https://openalex.org/W4224916568', 'https://openalex.org/W4402111360', 'https://openalex.org/W3015826515', 'https://openalex.org/W4392902857', 'https://openalex.org/W4401980889', 'https://openalex.org/W4312732823', 'https://openalex.org/W6783867762', 'https://openalex.org/W3140429000', 'https://openalex.org/W6871686990', 'https://openalex.org/W6870277322', 'https://openalex.org/W6852870047', 'https://openalex.org/W3024869864', 'https://openalex.org/W6752307458', 'https://openalex.org/W6846539466', 'https://openalex.org/W6870225445', 'https://openalex.org/W2972359262', 'https://openalex.org/W1494198834', 'https://openalex.org/W3163573274', 'https://openalex.org/W4392931276', 'https://openalex.org/W4402669711', 'https://openalex.org/W3015805741', 'https://openalex.org/W3198217962']",2025-03-12
https://openalex.org/W4404965706,https://doi.org/10.1007/978-3-031-78312-8_26,Comparative Analysis of Voice Conversion in German,,"['https://openalex.org/W4385823432', 'https://openalex.org/W3209984917', 'https://openalex.org/W6607045254', 'https://openalex.org/W3209059054', 'https://openalex.org/W2531638282', 'https://openalex.org/W4372260053', 'https://openalex.org/W4392902857', 'https://openalex.org/W4392969497', 'https://openalex.org/W3083423753', 'https://openalex.org/W4392904717', 'https://openalex.org/W4392909504', 'https://openalex.org/W4392910523', 'https://openalex.org/W4392903256', 'https://openalex.org/W1494198834', 'https://openalex.org/W4392904630', 'https://openalex.org/W4225956675', 'https://openalex.org/W4322629454', 'https://openalex.org/W4392903903', 'https://openalex.org/W3201506562', 'https://openalex.org/W4392909950', 'https://openalex.org/W4392903591', 'https://openalex.org/W4392903127', 'https://openalex.org/W2972359262', 'https://openalex.org/W6600140940', 'https://openalex.org/W3165478005']",2024-12-03
https://openalex.org/W4406461642,https://doi.org/10.1109/slt61566.2024.10832210,Hierarchical Multi-Path and Multi-Model Selection For Fake Speech Detection,,"['https://openalex.org/W6802527329', 'https://openalex.org/W4392903591', 'https://openalex.org/W6848482659', 'https://openalex.org/W6859230650', 'https://openalex.org/W2061278248', 'https://openalex.org/W3095259706', 'https://openalex.org/W3024869864', 'https://openalex.org/W4221154745', 'https://openalex.org/W6769178842', 'https://openalex.org/W4321780088', 'https://openalex.org/W4313590886', 'https://openalex.org/W2916301830', 'https://openalex.org/W2150962366', 'https://openalex.org/W2807550049', 'https://openalex.org/W2303197844', 'https://openalex.org/W3196837826', 'https://openalex.org/W3024920698', 'https://openalex.org/W3197014136', 'https://openalex.org/W3201773091', 'https://openalex.org/W3163596559', 'https://openalex.org/W3146945401', 'https://openalex.org/W2964052309', 'https://openalex.org/W4225527248', 'https://openalex.org/W3026777299', 'https://openalex.org/W3127781933', 'https://openalex.org/W3211424380', 'https://openalex.org/W3162784934', 'https://openalex.org/W4317181815', 'https://openalex.org/W3147454823', 'https://openalex.org/W3151295995', 'https://openalex.org/W4319862427', 'https://openalex.org/W4297841826', 'https://openalex.org/W3213029956', 'https://openalex.org/W2194775991', 'https://openalex.org/W4389471275', 'https://openalex.org/W4288091954', 'https://openalex.org/W3158663310', 'https://openalex.org/W4313447020']",2024-12-02
https://openalex.org/W4407692478,https://doi.org/10.1109/lsp.2025.3543456,UnitDiff: A Unit-Diffusion Model for Code-Switching Speech Synthesis,,"['https://openalex.org/W2963609956', 'https://openalex.org/W2964243274', 'https://openalex.org/W6778823374', 'https://openalex.org/W2936832667', 'https://openalex.org/W3016139610', 'https://openalex.org/W2525997790', 'https://openalex.org/W2973084242', 'https://openalex.org/W4372260486', 'https://openalex.org/W3095873922', 'https://openalex.org/W2996952407', 'https://openalex.org/W4402979375', 'https://openalex.org/W3205154814', 'https://openalex.org/W4392903591', 'https://openalex.org/W3210530853', 'https://openalex.org/W6679045638', 'https://openalex.org/W6779823529', 'https://openalex.org/W6783713337', 'https://openalex.org/W6795261426', 'https://openalex.org/W4304099317', 'https://openalex.org/W4385823402', 'https://openalex.org/W4392904694', 'https://openalex.org/W4391615163', 'https://openalex.org/W6809884996', 'https://openalex.org/W6917585676', 'https://openalex.org/W6783867762', 'https://openalex.org/W6805710207', 'https://openalex.org/W6847363464', 'https://openalex.org/W6777694618']",2025-01-01
https://openalex.org/W4408345987,https://doi.org/10.1109/icassp49660.2025.10890000,ExVC: Leveraging Mixture of Experts Models for Efficient Zero-shot Voice Conversion,,"['https://openalex.org/W3098557217', 'https://openalex.org/W6802527329', 'https://openalex.org/W4372267192', 'https://openalex.org/W2997354053', 'https://openalex.org/W4386057728', 'https://openalex.org/W4386132131', 'https://openalex.org/W2937579788', 'https://openalex.org/W6762533536', 'https://openalex.org/W4392902857', 'https://openalex.org/W4402112067', 'https://openalex.org/W3196584150', 'https://openalex.org/W6805710207', 'https://openalex.org/W3209059054', 'https://openalex.org/W3209984917', 'https://openalex.org/W4402112452', 'https://openalex.org/W4392903591', 'https://openalex.org/W4372260053', 'https://openalex.org/W4385823432', 'https://openalex.org/W3097777922', 'https://openalex.org/W6844796666', 'https://openalex.org/W2760103357', 'https://openalex.org/W3083423753', 'https://openalex.org/W6843384352', 'https://openalex.org/W6732520560', 'https://openalex.org/W6788811087', 'https://openalex.org/W4372349677', 'https://openalex.org/W4390873360', 'https://openalex.org/W3134077887', 'https://openalex.org/W6869382384', 'https://openalex.org/W4385823191', 'https://openalex.org/W6796464841', 'https://openalex.org/W2972394484']",2025-03-12
https://openalex.org/W4411556324,https://doi.org/10.1007/978-981-96-7005-5_30,Constructing Multi-detector Decision Forest for Fake Speech Detection,,"['https://openalex.org/W2150962366', 'https://openalex.org/W3024920698', 'https://openalex.org/W2973164265', 'https://openalex.org/W3196837826', 'https://openalex.org/W4313590886', 'https://openalex.org/W4206147850', 'https://openalex.org/W3099891349', 'https://openalex.org/W3209059054', 'https://openalex.org/W3201773091', 'https://openalex.org/W4297841850', 'https://openalex.org/W2972811785', 'https://openalex.org/W4206289720', 'https://openalex.org/W4388630478', 'https://openalex.org/W4317181815', 'https://openalex.org/W2964052309', 'https://openalex.org/W3197014136', 'https://openalex.org/W3200167423', 'https://openalex.org/W3163596559', 'https://openalex.org/W4225527248', 'https://openalex.org/W2505121225', 'https://openalex.org/W2987137416', 'https://openalex.org/W3026777299', 'https://openalex.org/W4392903591', 'https://openalex.org/W4312120800']",2025-01-01
https://openalex.org/W4413221907,https://doi.org/10.1145/3749644,Enhanced Prosody Modeling and Character Voice Controlling for Audiobook Speech Synthesis,"Conventional speech synthesis techniques have made significant strides towards achieving human-like performance. However, the domain of audiobook speech synthesis still presents notable challenges. On one hand, the speech in audiobooks exhibits rich prosodic expressiveness, posing substantial difficulties in prosody modeling. On the other hand, the reader of audiobooks uses different voices to perform dialogues of different characters, which has been inadequately explored in existing speech synthesis methods. To address the first challenge, we integrate discourse-scale prosody modeling into the conventional autoencoder-based framework and introduce generative adversarial networks (GANs) for phoneme-level prosody code prediction. Regarding the second challenge, we further explore a character voice encoder based on the pretrained speaker verification model, integrating it into our proposed method. Experimental results validate that the proposed method enhances the prosodic expressiveness of synthesized audiobook speech. Moreover, it demonstrates the capacity to produce distinctive voices for different audiobook characters without compromising the naturalness of the synthesized speech.","['https://openalex.org/W2964243274', 'https://openalex.org/W2903739847', 'https://openalex.org/W3161296985', 'https://openalex.org/W4385823163', 'https://openalex.org/W4391020683', 'https://openalex.org/W3161113899', 'https://openalex.org/W2963341956', 'https://openalex.org/W3161732385', 'https://openalex.org/W3097795905', 'https://openalex.org/W3081488690', 'https://openalex.org/W3163339651', 'https://openalex.org/W3193700177', 'https://openalex.org/W3196027980', 'https://openalex.org/W4372341043', 'https://openalex.org/W4385329631', 'https://openalex.org/W4385993905', 'https://openalex.org/W4391021635', 'https://openalex.org/W4402112210', 'https://openalex.org/W4224928640', 'https://openalex.org/W3198123658', 'https://openalex.org/W4375869257', 'https://openalex.org/W4398152753', 'https://openalex.org/W4385822787', 'https://openalex.org/W4392903591', 'https://openalex.org/W3216941316', 'https://openalex.org/W3015338123', 'https://openalex.org/W4372346850', 'https://openalex.org/W2972951102', 'https://openalex.org/W4375868902', 'https://openalex.org/W3096086473', 'https://openalex.org/W3024869864', 'https://openalex.org/W2890964092', 'https://openalex.org/W3162746464', 'https://openalex.org/W3150572638', 'https://openalex.org/W2962691331', 'https://openalex.org/W4392904630', 'https://openalex.org/W3158374895', 'https://openalex.org/W3151450932', 'https://openalex.org/W3015440759', 'https://openalex.org/W3094917204', 'https://openalex.org/W4396542467', 'https://openalex.org/W2904459034', 'https://openalex.org/W2885800352', 'https://openalex.org/W3095545636', 'https://openalex.org/W4319586596', 'https://openalex.org/W4296068776', 'https://openalex.org/W3097777922', 'https://openalex.org/W2593414223', 'https://openalex.org/W4285218396', 'https://openalex.org/W4395961599', 'https://openalex.org/W2471520273', 'https://openalex.org/W2808631503', 'https://openalex.org/W4406794071', 'https://openalex.org/W4402112010']",2025-08-11
https://openalex.org/W4415708059,https://doi.org/10.1109/icme59968.2025.11208979,Fitted-Singer: Singing Voice Synthesis with Style Control and Rhythm Control,,"['https://openalex.org/W4402979888', 'https://openalex.org/W3097514409', 'https://openalex.org/W4385571362', 'https://openalex.org/W3158762648', 'https://openalex.org/W4392903591', 'https://openalex.org/W4385822787', 'https://openalex.org/W4392908903', 'https://openalex.org/W4398152753', 'https://openalex.org/W4375869257', 'https://openalex.org/W4401042666', 'https://openalex.org/W4402982072', 'https://openalex.org/W3196584150', 'https://openalex.org/W4393160753', 'https://openalex.org/W4221167708', 'https://openalex.org/W4384028538', 'https://openalex.org/W4391021559', 'https://openalex.org/W2884225676', 'https://openalex.org/W4200556575', 'https://openalex.org/W4392909919']",2025-06-30
