doi,title,abstract,included,decision_source,final_verdict,landing_url,pdf_url,year,source_anchor,source_term,metadata_json,arxiv_id,openalex_id
10.1145/3534678.3539209,Duplex Conversation: Towards Human-like Interaction in Spoken Dialogue Systems,"In this paper, we present Duplex Conversation, a multi-turn, multimodal spoken dialogue system that enables telephone-based agents to interact with customers like a human. We use the concept of full-duplex in telecommunication to demonstrate what a human-like interactive experience should be and how to achieve smooth turn-taking through three subtasks: user state detection, backchannel selection, and barge-in detection. Besides, we propose semi-supervised learning with multimodal data augmentation to leverage unlabeled data to increase model generalization. Experimental results on three sub-tasks show that the proposed method achieves consistent improvements compared with baselines. We deploy the Duplex Conversation to Alibaba intelligent customer service and share lessons learned in production. Online A/B experiments show that the proposed system can significantly reduce response latency by 50%.",1,,include (junior:4),https://arxiv.org/abs/2205.15060v4,https://arxiv.org/pdf/2205.15060v4,2022,turn-taking,true full-duplex,"{""arxiv_id"": ""2205.15060"", ""title"": ""Duplex Conversation: Towards Human-like Interaction in Spoken Dialogue Systems"", ""summary"": ""In this paper, we present Duplex Conversation, a multi-turn, multimodal spoken dialogue system that enables telephone-based agents to interact with customers like a human. We use the concept of full-duplex in telecommunication to demonstrate what a human-like interactive experience should be and how to achieve smooth turn-taking through three subtasks: user state detection, backchannel selection, and barge-in detection. Besides, we propose semi-supervised learning with multimodal data augmentation to leverage unlabeled data to increase model generalization. Experimental results on three sub-tasks show that the proposed method achieves consistent improvements compared with baselines. We deploy the Duplex Conversation to Alibaba intelligent customer service and share lessons learned in production. Online A/B experiments show that the proposed system can significantly reduce response latency by 50%."", ""authors"": [""Ting-En Lin"", ""Yuchuan Wu"", ""Fei Huang"", ""Luo Si"", ""Jian Sun"", ""Yongbin Li""], ""published"": ""2022-05-30T12:41:23Z"", ""updated"": ""2022-06-14T10:45:56Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2205.15060v4"", ""landing_url"": ""https://arxiv.org/abs/2205.15060v4"", ""doi"": ""https://doi.org/10.1145/3534678.3539209""}",2205.1506,https://openalex.org/W4282030117
10.48550/arxiv.2209.15483,Augmentation Invariant Discrete Representation for Generative Spoken Language Modeling,"Generative Spoken Language Modeling research focuses on optimizing speech Language Models (LMs) using raw audio recordings without accessing any textual supervision. Such speech LMs usually operate over discrete units obtained from quantizing internal representations of self-supervised models. Although such units show impressive modeling results, their robustness capabilities have not been extensively investigated. This work focuses on improving the robustness of discrete input representations for generative spoken language modeling. First, we formally define how to measure the robustness of such representations to various signal variations that do not alter the spoken information (e.g., time-stretch). Next, we empirically demonstrate how current state-of-the-art representation models lack robustness to such variations. To overcome this, we propose an effective and efficient method to learn robust discrete speech representation for generative spoken language modeling. The proposed approach is based on applying a set of signal transformations to the speech signal and optimizing the model using an iterative pseudo-labeling scheme. Our method significantly improves over the evaluated baselines when considering encoding and modeling metrics. We additionally evaluate our method on the speech-to-speech translation task, considering Spanish-English and French-English translations, and show the proposed approach outperforms the evaluated baselines.",1,,include (senior:5),https://arxiv.org/abs/2209.15483v2,https://arxiv.org/pdf/2209.15483v2,2022,spoken language models,true full-duplex,"{""arxiv_id"": ""2209.15483"", ""title"": ""Augmentation Invariant Discrete Representation for Generative Spoken Language Modeling"", ""summary"": ""Generative Spoken Language Modeling research focuses on optimizing speech Language Models (LMs) using raw audio recordings without accessing any textual supervision. Such speech LMs usually operate over discrete units obtained from quantizing internal representations of self-supervised models. Although such units show impressive modeling results, their robustness capabilities have not been extensively investigated. This work focuses on improving the robustness of discrete input representations for generative spoken language modeling. First, we formally define how to measure the robustness of such representations to various signal variations that do not alter the spoken information (e.g., time-stretch). Next, we empirically demonstrate how current state-of-the-art representation models lack robustness to such variations. To overcome this, we propose an effective and efficient method to learn robust discrete speech representation for generative spoken language modeling. The proposed approach is based on applying a set of signal transformations to the speech signal and optimizing the model using an iterative pseudo-labeling scheme. Our method significantly improves over the evaluated baselines when considering encoding and modeling metrics. We additionally evaluate our method on the speech-to-speech translation task, considering Spanish-English and French-English translations, and show the proposed approach outperforms the evaluated baselines."", ""authors"": [""Itai Gat"", ""Felix Kreuk"", ""Tu Anh Nguyen"", ""Ann Lee"", ""Jade Copet"", ""Gabriel Synnaeve"", ""Emmanuel Dupoux"", ""Yossi Adi""], ""published"": ""2022-09-30T14:15:03Z"", ""updated"": ""2023-05-29T10:50:29Z"", ""categories"": [""cs.CL"", ""cs.LG"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2209.15483v2"", ""landing_url"": ""https://arxiv.org/abs/2209.15483v2"", ""doi"": ""https://doi.org/10.48550/arXiv.2209.15483""}",2209.15483,https://openalex.org/W4300980462
10.1109/jstsp.2022.3206084,Self-supervised language learning from raw audio: Lessons from the Zero Resource Speech Challenge,"Recent progress in self-supervised or unsupervised machine learning has opened the possibility of building a full speech processing system from raw audio without using any textual representations or expert labels such as phonemes, dictionaries or parse trees. The contribution of the Zero Resource Speech Challenge series since 2015 has been to break down this long-term objective into four well-defined tasks -- Acoustic Unit Discovery, Spoken Term Discovery, Discrete Resynthesis, and Spoken Language Modeling -- and introduce associated metrics and benchmarks enabling model comparison and cumulative progress. We present an overview of the six editions of this challenge series since 2015, discuss the lessons learned, and outline the areas which need more work or give puzzling results.",1,,include (senior:4),https://arxiv.org/abs/2210.15759v1,https://arxiv.org/pdf/2210.15759v1,2022,spoken language models,true full-duplex,"{""arxiv_id"": ""2210.15759"", ""title"": ""Self-supervised language learning from raw audio: Lessons from the Zero Resource Speech Challenge"", ""summary"": ""Recent progress in self-supervised or unsupervised machine learning has opened the possibility of building a full speech processing system from raw audio without using any textual representations or expert labels such as phonemes, dictionaries or parse trees. The contribution of the Zero Resource Speech Challenge series since 2015 has been to break down this long-term objective into four well-defined tasks -- Acoustic Unit Discovery, Spoken Term Discovery, Discrete Resynthesis, and Spoken Language Modeling -- and introduce associated metrics and benchmarks enabling model comparison and cumulative progress. We present an overview of the six editions of this challenge series since 2015, discuss the lessons learned, and outline the areas which need more work or give puzzling results."", ""authors"": [""Ewan Dunbar"", ""Nicolas Hamilakis"", ""Emmanuel Dupoux""], ""published"": ""2022-10-27T20:32:41Z"", ""updated"": ""2022-10-27T20:32:41Z"", ""categories"": [""cs.CL"", ""cs.SD"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2210.15759v1"", ""landing_url"": ""https://arxiv.org/abs/2210.15759v1"", ""doi"": ""https://doi.org/10.1109/JSTSP.2022.3206084""}",2210.15759,https://openalex.org/W4295308567
10.1109/icassp49357.2023.10097097,Analysing Discrete Self Supervised Speech Representation for Spoken Language Modeling,"This work profoundly analyzes discrete self-supervised speech representations (units) through the eyes of Generative Spoken Language Modeling (GSLM). Following the findings of such an analysis, we propose practical improvements to the discrete unit for the GSLM. First, we start comprehending these units by analyzing them in three axes: interpretation, visualization, and resynthesis. Our analysis finds a high correlation between the speech units to phonemes and phoneme families, while their correlation with speaker or gender is weaker. Additionally, we found redundancies in the extracted units and claim that one reason may be the units' context. Following this analysis, we propose a new, unsupervised metric to measure unit redundancies. Finally, we use this metric to develop new methods that improve the robustness of units' clustering and show significant improvement considering zero-resource speech metrics such as ABX. Code and analysis tools are available under the following link: https://github.com/slp-rl/SLM-Discrete-Representations",1,,include (junior:4),https://arxiv.org/abs/2301.00591v3,https://arxiv.org/pdf/2301.00591v3,2023,spoken language models,true full-duplex,"{""arxiv_id"": ""2301.00591"", ""title"": ""Analysing Discrete Self Supervised Speech Representation for Spoken Language Modeling"", ""summary"": ""This work profoundly analyzes discrete self-supervised speech representations (units) through the eyes of Generative Spoken Language Modeling (GSLM). Following the findings of such an analysis, we propose practical improvements to the discrete unit for the GSLM. First, we start comprehending these units by analyzing them in three axes: interpretation, visualization, and resynthesis. Our analysis finds a high correlation between the speech units to phonemes and phoneme families, while their correlation with speaker or gender is weaker. Additionally, we found redundancies in the extracted units and claim that one reason may be the units' context. Following this analysis, we propose a new, unsupervised metric to measure unit redundancies. Finally, we use this metric to develop new methods that improve the robustness of units' clustering and show significant improvement considering zero-resource speech metrics such as ABX. Code and analysis tools are available under the following link: https://github.com/slp-rl/SLM-Discrete-Representations"", ""authors"": [""Amitay Sicherman"", ""Yossi Adi""], ""published"": ""2023-01-02T10:36:40Z"", ""updated"": ""2023-03-01T09:59:54Z"", ""categories"": [""cs.CL"", ""cs.SD"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2301.00591v3"", ""landing_url"": ""https://arxiv.org/abs/2301.00591v3"", ""doi"": ""https://doi.org/10.1109/ICASSP49357.2023.10097097""}",2301.00591,https://openalex.org/W4375868953
10.48550/arxiv.2303.03926,Speak Foreign Languages with Your Own Voice: Cross-Lingual Neural Codec Language Modeling,"We propose a cross-lingual neural codec language model, VALL-E X, for cross-lingual speech synthesis. Specifically, we extend VALL-E and train a multi-lingual conditional codec language model to predict the acoustic token sequences of the target language speech by using both the source language speech and the target language text as prompts. VALL-E X inherits strong in-context learning capabilities and can be applied for zero-shot cross-lingual text-to-speech synthesis and zero-shot speech-to-speech translation tasks. Experimental results show that it can generate high-quality speech in the target language via just one speech utterance in the source language as a prompt while preserving the unseen speaker's voice, emotion, and acoustic environment. Moreover, VALL-E X effectively alleviates the foreign accent problems, which can be controlled by a language ID. Audio samples are available at \url{https://aka.ms/vallex}.",1,,include (senior:4),https://arxiv.org/abs/2303.03926v1,https://arxiv.org/pdf/2303.03926v1,2023,spoken language models,neural codec,"{""arxiv_id"": ""2303.03926"", ""title"": ""Speak Foreign Languages with Your Own Voice: Cross-Lingual Neural Codec Language Modeling"", ""summary"": ""We propose a cross-lingual neural codec language model, VALL-E X, for cross-lingual speech synthesis. Specifically, we extend VALL-E and train a multi-lingual conditional codec language model to predict the acoustic token sequences of the target language speech by using both the source language speech and the target language text as prompts. VALL-E X inherits strong in-context learning capabilities and can be applied for zero-shot cross-lingual text-to-speech synthesis and zero-shot speech-to-speech translation tasks. Experimental results show that it can generate high-quality speech in the target language via just one speech utterance in the source language as a prompt while preserving the unseen speaker's voice, emotion, and acoustic environment. Moreover, VALL-E X effectively alleviates the foreign accent problems, which can be controlled by a language ID. Audio samples are available at \\url{https://aka.ms/vallex}."", ""authors"": [""Ziqiang Zhang"", ""Long Zhou"", ""Chengyi Wang"", ""Sanyuan Chen"", ""Yu Wu"", ""Shujie Liu"", ""Zhuo Chen"", ""Yanqing Liu"", ""Huaming Wang"", ""Jinyu Li"", ""Lei He"", ""Sheng Zhao"", ""Furu Wei""], ""published"": ""2023-03-07T14:31:55Z"", ""updated"": ""2023-03-07T14:31:55Z"", ""categories"": [""cs.CL"", ""cs.AI"", ""cs.SD"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2303.03926v1"", ""landing_url"": ""https://arxiv.org/abs/2303.03926v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2303.03926""}",2303.03926,https://openalex.org/W4323651091
10.48550/arxiv.2305.15255,Spoken Question Answering and Speech Continuation Using Spectrogram-Powered LLM,"We present Spectron, a novel approach to adapting pre-trained large language models (LLMs) to perform spoken question answering (QA) and speech continuation. By endowing the LLM with a pre-trained speech encoder, our model becomes able to take speech inputs and generate speech outputs. The entire system is trained end-to-end and operates directly on spectrograms, simplifying our architecture. Key to our approach is a training objective that jointly supervises speech recognition, text continuation, and speech synthesis using only paired speech-text pairs, enabling a `cross-modal' chain-of-thought within a single decoding pass. Our method surpasses existing spoken language models in speaker preservation and semantic coherence. Furthermore, the proposed model improves upon direct initialization in retaining the knowledge of the original LLM as demonstrated through spoken QA datasets. We release our audio samples (https://michelleramanovich.github.io/spectron/spectron) and spoken QA dataset (https://github.com/google-research-datasets/LLAMA1-Test-Set).",1,,include (junior:4),https://arxiv.org/abs/2305.15255v4,https://arxiv.org/pdf/2305.15255v4,2023,spoken language models,true full-duplex,"{""arxiv_id"": ""2305.15255"", ""title"": ""Spoken Question Answering and Speech Continuation Using Spectrogram-Powered LLM"", ""summary"": ""We present Spectron, a novel approach to adapting pre-trained large language models (LLMs) to perform spoken question answering (QA) and speech continuation. By endowing the LLM with a pre-trained speech encoder, our model becomes able to take speech inputs and generate speech outputs. The entire system is trained end-to-end and operates directly on spectrograms, simplifying our architecture. Key to our approach is a training objective that jointly supervises speech recognition, text continuation, and speech synthesis using only paired speech-text pairs, enabling a `cross-modal' chain-of-thought within a single decoding pass. Our method surpasses existing spoken language models in speaker preservation and semantic coherence. Furthermore, the proposed model improves upon direct initialization in retaining the knowledge of the original LLM as demonstrated through spoken QA datasets. We release our audio samples (https://michelleramanovich.github.io/spectron/spectron) and spoken QA dataset (https://github.com/google-research-datasets/LLAMA1-Test-Set)."", ""authors"": [""Eliya Nachmani"", ""Alon Levkovitch"", ""Roy Hirsch"", ""Julian Salazar"", ""Chulayuth Asawaroengchai"", ""Soroosh Mariooryad"", ""Ehud Rivlin"", ""RJ Skerry-Ryan"", ""Michelle Tadmor Ramanovich""], ""published"": ""2023-05-24T15:39:43Z"", ""updated"": ""2024-05-31T01:29:27Z"", ""categories"": [""cs.CL"", ""cs.LG"", ""cs.SD"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2305.15255v4"", ""landing_url"": ""https://arxiv.org/abs/2305.15255v4"", ""doi"": ""https://doi.org/10.48550/arXiv.2305.15255""}",2305.15255,https://openalex.org/W4378510408
10.48550/arxiv.2305.16107,"VioLA: Unified Codec Language Models for Speech Recognition, Synthesis, and Translation","Recent research shows a big convergence in model architecture, training objectives, and inference methods across various tasks for different modalities. In this paper, we propose VioLA, a single auto-regressive Transformer decoder-only network that unifies various cross-modal tasks involving speech and text, such as speech-to-text, text-to-text, text-to-speech, and speech-to-speech tasks, as a conditional codec language model task via multi-task learning framework. To accomplish this, we first convert all the speech utterances to discrete tokens (similar to the textual data) using an offline neural codec encoder. In such a way, all these tasks are converted to token-based sequence conversion problems, which can be naturally handled with one conditional language model. We further integrate task IDs (TID) and language IDs (LID) into the proposed model to enhance the modeling capability of handling different languages and tasks. Experimental results demonstrate that the proposed VioLA model can support both single-modal and cross-modal tasks well, and the decoder-only model achieves a comparable and even better performance than the strong baselines.",1,,include (senior:5),https://arxiv.org/abs/2305.16107v1,https://arxiv.org/pdf/2305.16107v1,2023,synchronous dialogue,neural codec,"{""arxiv_id"": ""2305.16107"", ""title"": ""VioLA: Unified Codec Language Models for Speech Recognition, Synthesis, and Translation"", ""summary"": ""Recent research shows a big convergence in model architecture, training objectives, and inference methods across various tasks for different modalities. In this paper, we propose VioLA, a single auto-regressive Transformer decoder-only network that unifies various cross-modal tasks involving speech and text, such as speech-to-text, text-to-text, text-to-speech, and speech-to-speech tasks, as a conditional codec language model task via multi-task learning framework. To accomplish this, we first convert all the speech utterances to discrete tokens (similar to the textual data) using an offline neural codec encoder. In such a way, all these tasks are converted to token-based sequence conversion problems, which can be naturally handled with one conditional language model. We further integrate task IDs (TID) and language IDs (LID) into the proposed model to enhance the modeling capability of handling different languages and tasks. Experimental results demonstrate that the proposed VioLA model can support both single-modal and cross-modal tasks well, and the decoder-only model achieves a comparable and even better performance than the strong baselines."", ""authors"": [""Tianrui Wang"", ""Long Zhou"", ""Ziqiang Zhang"", ""Yu Wu"", ""Shujie Liu"", ""Yashesh Gaur"", ""Zhuo Chen"", ""Jinyu Li"", ""Furu Wei""], ""published"": ""2023-05-25T14:39:47Z"", ""updated"": ""2023-05-25T14:39:47Z"", ""categories"": [""cs.CL"", ""cs.SD"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2305.16107v1"", ""landing_url"": ""https://arxiv.org/abs/2305.16107v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2305.16107""}",2305.16107,https://openalex.org/W4378501656
10.21437/interspeech.2023-679,Wave to Syntax: Probing spoken language models for syntax,"Understanding which information is encoded in deep models of spoken and written language has been the focus of much research in recent years, as it is crucial for debugging and improving these architectures. Most previous work has focused on probing for speaker characteristics, acoustic and phonological information in models of spoken language, and for syntactic information in models of written language. Here we focus on the encoding of syntax in several self-supervised and visually grounded models of spoken language. We employ two complementary probing methods, combined with baselines and reference representations to quantify the degree to which syntactic structure is encoded in the activations of the target models. We show that syntax is captured most prominently in the middle layers of the networks, and more explicitly within models with more parameters.",1,,include (senior:5),https://arxiv.org/abs/2305.18957v1,https://arxiv.org/pdf/2305.18957v1,2023,spoken language models,true full-duplex,"{""arxiv_id"": ""2305.18957"", ""title"": ""Wave to Syntax: Probing spoken language models for syntax"", ""summary"": ""Understanding which information is encoded in deep models of spoken and written language has been the focus of much research in recent years, as it is crucial for debugging and improving these architectures. Most previous work has focused on probing for speaker characteristics, acoustic and phonological information in models of spoken language, and for syntactic information in models of written language. Here we focus on the encoding of syntax in several self-supervised and visually grounded models of spoken language. We employ two complementary probing methods, combined with baselines and reference representations to quantify the degree to which syntactic structure is encoded in the activations of the target models. We show that syntax is captured most prominently in the middle layers of the networks, and more explicitly within models with more parameters."", ""authors"": [""Gaofei Shen"", ""Afra Alishahi"", ""Arianna Bisazza"", ""Grzegorz Chrupała""], ""published"": ""2023-05-30T11:43:18Z"", ""updated"": ""2023-05-30T11:43:18Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2305.18957v1"", ""landing_url"": ""https://arxiv.org/abs/2305.18957v1"", ""doi"": ""https://doi.org/10.21437/Interspeech.2023-679""}",2305.18957,https://openalex.org/W4385823328
10.48550/arxiv.2306.00697,How Generative Spoken Language Modeling Encodes Noisy Speech: Investigation from Phonetics to Syntactics,"We examine the speech modeling potential of generative spoken language modeling (GSLM), which involves using learned symbols derived from data rather than phonemes for speech analysis and synthesis. Since GSLM facilitates textless spoken language processing, exploring its effectiveness is critical for paving the way for novel paradigms in spoken-language processing. This paper presents the findings of GSLM's encoding and decoding effectiveness at the spoken-language and speech levels. Through speech resynthesis experiments, we revealed that resynthesis errors occur at the levels ranging from phonology to syntactics and GSLM frequently resynthesizes natural but content-altered speech.",1,,include (senior:5),https://arxiv.org/abs/2306.00697v1,https://arxiv.org/pdf/2306.00697v1,2023,spoken language models,true full-duplex,"{""arxiv_id"": ""2306.00697"", ""title"": ""How Generative Spoken Language Modeling Encodes Noisy Speech: Investigation from Phonetics to Syntactics"", ""summary"": ""We examine the speech modeling potential of generative spoken language modeling (GSLM), which involves using learned symbols derived from data rather than phonemes for speech analysis and synthesis. Since GSLM facilitates textless spoken language processing, exploring its effectiveness is critical for paving the way for novel paradigms in spoken-language processing. This paper presents the findings of GSLM's encoding and decoding effectiveness at the spoken-language and speech levels. Through speech resynthesis experiments, we revealed that resynthesis errors occur at the levels ranging from phonology to syntactics and GSLM frequently resynthesizes natural but content-altered speech."", ""authors"": [""Joonyong Park"", ""Shinnosuke Takamichi"", ""Tomohiko Nakamura"", ""Kentaro Seki"", ""Detai Xin"", ""Hiroshi Saruwatari""], ""published"": ""2023-06-01T14:07:19Z"", ""updated"": ""2023-06-01T14:07:19Z"", ""categories"": [""cs.CL"", ""cs.AI"", ""eess.AS""], ""pdf_url"": ""https://arxiv.org/pdf/2306.00697v1"", ""landing_url"": ""https://arxiv.org/abs/2306.00697v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2306.00697""}",2306.00697,https://openalex.org/W4379258843
10.21437/interspeech.2023-978,BabySLM: language-acquisition-friendly benchmark of self-supervised spoken language models,"Self-supervised techniques for learning speech representations have been shown to develop linguistic competence from exposure to speech without the need for human labels. In order to fully realize the potential of these approaches and further our understanding of how infants learn language, simulations must closely emulate real-life situations by training on developmentally plausible corpora and benchmarking against appropriate test sets. To this end, we propose a language-acquisition-friendly benchmark to probe spoken language models at the lexical and syntactic levels, both of which are compatible with the vocabulary typical of children's language experiences. This paper introduces the benchmark and summarizes a range of experiments showing its usefulness. In addition, we highlight two exciting challenges that need to be addressed for further progress: bridging the gap between text and speech and between clean speech and in-the-wild speech.",1,,include (senior:4),https://arxiv.org/abs/2306.01506v2,https://arxiv.org/pdf/2306.01506v2,2023,spoken language models,true full-duplex,"{""arxiv_id"": ""2306.01506"", ""title"": ""BabySLM: language-acquisition-friendly benchmark of self-supervised spoken language models"", ""summary"": ""Self-supervised techniques for learning speech representations have been shown to develop linguistic competence from exposure to speech without the need for human labels. In order to fully realize the potential of these approaches and further our understanding of how infants learn language, simulations must closely emulate real-life situations by training on developmentally plausible corpora and benchmarking against appropriate test sets. To this end, we propose a language-acquisition-friendly benchmark to probe spoken language models at the lexical and syntactic levels, both of which are compatible with the vocabulary typical of children's language experiences. This paper introduces the benchmark and summarizes a range of experiments showing its usefulness. In addition, we highlight two exciting challenges that need to be addressed for further progress: bridging the gap between text and speech and between clean speech and in-the-wild speech."", ""authors"": [""Marvin Lavechin"", ""Yaya Sy"", ""Hadrien Titeux"", ""María Andrea Cruz Blandón"", ""Okko Räsänen"", ""Hervé Bredin"", ""Emmanuel Dupoux"", ""Alejandrina Cristia""], ""published"": ""2023-06-02T12:54:38Z"", ""updated"": ""2023-06-08T12:22:30Z"", ""categories"": [""cs.CL"", ""eess.AS"", ""stat.ML""], ""pdf_url"": ""https://arxiv.org/pdf/2306.01506v2"", ""landing_url"": ""https://arxiv.org/abs/2306.01506v2"", ""doi"": ""https://doi.org/10.21437/Interspeech.2023-978""}",2306.01506,https://openalex.org/W4385822936
