openalex_id,doi,title,abstract,referenced_works,publication_date
https://openalex.org/W4392902876,https://doi.org/10.1109/icassp48485.2024.10447448,Retrieval Augmented End-to-End Spoken Dialog Models,"We recently developed a joint speech and language model (SLM [1]) which fuses a pretrained foundational speech model and a large language model (LLM), while preserving the in-context learning capability intrinsic to the pretrained LLM. In this paper, we apply SLM to dialog applications where the dialog states are inferred directly from the audio signal.Task-oriented dialogs often contain domain-specific entities, i.e., restaurants, hotels, train stations, and city names, which are difficult to recognize, however, critical for the downstream applications. Inspired by the RAG (retrieval-augmented generation) models, we propose a retrieval augmented SLM (ReSLM) that overcomes this weakness. We first train a retriever to retrieve text entities given audio inputs. The retrieved entities are then added as text inputs to the underlying LLM to bias model predictions. We evaluated ReSLM on speech MultiWoz task (DSTC-11 Challenge), and found that the retrieval augmentation boosts model performance, achieving joint goal accuracy (38.6% vs 32.7%), slot error rate (20.6% vs 24.8%) and ASR word error rate (5.5% vs 6.7%). While demonstrated on dialog state tracking, our approach is broadly applicable to speech tasks requiring custom contextual information or domain-specific entities.","['https://openalex.org/W4391021623', 'https://openalex.org/W6777615688', 'https://openalex.org/W6779857854', 'https://openalex.org/W3099700870', 'https://openalex.org/W6810722945', 'https://openalex.org/W4385822641', 'https://openalex.org/W6764961350', 'https://openalex.org/W4385573970', 'https://openalex.org/W6803092890', 'https://openalex.org/W4226120743', 'https://openalex.org/W4225272718', 'https://openalex.org/W4225308107', 'https://openalex.org/W6799838802', 'https://openalex.org/W6810334672', 'https://openalex.org/W4381786045', 'https://openalex.org/W4372270126', 'https://openalex.org/W6783813245', 'https://openalex.org/W6810730852', 'https://openalex.org/W6845404407', 'https://openalex.org/W2945475330', 'https://openalex.org/W6770169672', 'https://openalex.org/W2997771882', 'https://openalex.org/W3206547074', 'https://openalex.org/W4223510772', 'https://openalex.org/W6850218400', 'https://openalex.org/W6769627184', 'https://openalex.org/W2127141656', 'https://openalex.org/W4372267461', 'https://openalex.org/W6777399232', 'https://openalex.org/W6810673746', 'https://openalex.org/W3097777922', 'https://openalex.org/W4225323055', 'https://openalex.org/W4288027128', 'https://openalex.org/W3207222250', 'https://openalex.org/W4226082499', 'https://openalex.org/W4301243929', 'https://openalex.org/W4225553189', 'https://openalex.org/W2954492830', 'https://openalex.org/W4323066695', 'https://openalex.org/W3190965961']",2024-03-18
https://openalex.org/W4408358330,https://doi.org/10.1109/access.2025.3550855,"Advancements in Speech Recognition: A Systematic Review of Deep Learning Transformer Models, Trends, Innovations, and Future Directions","The transformer is a Deep Learning (DL) model that revolutionized language processing with its self-attention mechanism, enabling parallel processing and improving model efficiency, which dramatically reshaped the landscape of speech recognition technology, based on the ability to efficiently manage the dynamic and context-rich nature of speech. The proposed systematic review in this article critically examines the impact of transformer models on speech recognition, covering the published research over the past seven years (from January 1, 2017, to May 15, 2024). The goals of this article are to synthesize the current knowledge, pinpoint emerging trends, and identify research gaps that could be beneficial for future investigations. From an initial pool of 2,838 publications sourced from leading digital libraries, a rigorous two-step screening process applied to distill high-quality studies relevant to the review criteria. We concentrated our analysis on seven pivotal areas as following: the environmental conditions (neutral versus noisy) addressed by the studies, methods of feature extraction employed, characteristics of the transformer models used, datasets utilized, variations in model efficiency, the influence of noise on model generalizability, and trends in self-supervised learning, ending up with 37 articles to review in this paper. Our findings underscore the transformative potential of transformers in enhancing the accuracy and robustness of speech recognition systems, especially in challenging acoustic environments. In addition, this review highlights areas where more research is needed to make speech recognition even better by using transformer technology.","['https://openalex.org/W6866711220', 'https://openalex.org/W6866150908', 'https://openalex.org/W6857228344', 'https://openalex.org/W6857421307', 'https://openalex.org/W4385822429', 'https://openalex.org/W4385822766', 'https://openalex.org/W6853611000', 'https://openalex.org/W4385822815', 'https://openalex.org/W4327500526', 'https://openalex.org/W3206114047', 'https://openalex.org/W4225808286', 'https://openalex.org/W4224925623', 'https://openalex.org/W4210463634', 'https://openalex.org/W6770514103', 'https://openalex.org/W3207595101', 'https://openalex.org/W4223945715', 'https://openalex.org/W4226420874', 'https://openalex.org/W3015810689', 'https://openalex.org/W4391021623', 'https://openalex.org/W4226380987', 'https://openalex.org/W3015747801', 'https://openalex.org/W3162313915', 'https://openalex.org/W2981857663', 'https://openalex.org/W4393863141', 'https://openalex.org/W4221165942', 'https://openalex.org/W3016010032', 'https://openalex.org/W4391021542', 'https://openalex.org/W4392904027', 'https://openalex.org/W4385245566', 'https://openalex.org/W4400771889', 'https://openalex.org/W4283818106', 'https://openalex.org/W4379805013', 'https://openalex.org/W4205608408', 'https://openalex.org/W4412474694', 'https://openalex.org/W2781626870', 'https://openalex.org/W3157175643', 'https://openalex.org/W4399426355', 'https://openalex.org/W4317881096']",2025-01-01
https://openalex.org/W4412899262,https://doi.org/10.37943/22snok5872,AUDIO-TO-TEXT TRANSLATION FOR THE HARD OF HEARING: A WHISPER MODEL-BASED STUDY,"This study investigates the effectiveness of the Whisper model for audio-to-text transcription, specifically targeting the enhancement of accessibility for individuals with hearing impairments. The research focuses on the processing of audio recordings obtained from WhatsApp messenger, which often contain significant background noise that complicates speech recognition. To address this issue, advanced audio processing techniques were employed, including the use of the Librosa library and the Noisereduce package for noise reduction. The spectral gating methods applied in this study effectively diminished wind noise and other ambient sounds, allowing for clearer recognition of spoken content. To ensure the quality of the processed audio, we assessed its clarity using a SimpleRNN model. The training results demonstrated a progressive reduction in loss values across epochs, confirming the successful enhancement of audio quality. Once the audio files were adequately cleaned, we utilized the Whisper model, a sophisticated machine learning tool for speech recognition developed by OpenAI, to transcribe the audio into text. The transcription process yielded accurate Kazakh language output, despite the initial challenges posed by background noise. These findings underscore the critical role of high-quality audio input in achieving reliable transcription results and highlight the potential of machine learning technologies in improving communication access for hearing-impaired individuals. This study concludes with recommendations for future research, including the exploration of additional noise reduction techniques and the application of the Whisper model across various languages and dialects. Such advancements could significantly contribute to creating more inclusive digital environments and enhancing the overall user experience for individuals with hearing impairments.","['https://openalex.org/W2029430921', 'https://openalex.org/W4391384041', 'https://openalex.org/W4387790057', 'https://openalex.org/W4361003384', 'https://openalex.org/W4389669656', 'https://openalex.org/W4387303718', 'https://openalex.org/W4297259271', 'https://openalex.org/W4319601831', 'https://openalex.org/W4403496717', 'https://openalex.org/W3092424727', 'https://openalex.org/W4385764125', 'https://openalex.org/W4375869257', 'https://openalex.org/W3162037819', 'https://openalex.org/W4309951156', 'https://openalex.org/W4391021666', 'https://openalex.org/W3206573929', 'https://openalex.org/W4391021623', 'https://openalex.org/W4385805046', 'https://openalex.org/W3119991380', 'https://openalex.org/W4320884090', 'https://openalex.org/W4394978572', 'https://openalex.org/W4386575267', 'https://openalex.org/W4402981815']",2025-06-30
https://openalex.org/W4389524500,https://doi.org/10.18653/v1/2023.findings-emnlp.1055,SpeechGPT: Empowering Large Language Models with Intrinsic Cross-Modal Conversational Abilities,"Multi-modal large language models are regarded as a crucial step towards Artificial General Intelligence (AGI) and have garnered significant interest with the emergence of ChatGPT. However, current speech-language models typically adopt the cascade paradigm, preventing inter-modal knowledge transfer. In this paper, we propose SpeechGPT, a large language model with intrinsic cross-modal conversational abilities, capable of perceiving and generating multi-modal content. With discrete speech representations, we construct SpeechInstruct, the first large-scale cross-modal speech instruction dataset. Additionally, we employ a three-stage training strategy that includes modality-adaptation pre-training, cross-modal instruction fine-tuning, and chain-of-modality instruction fine-tuning. The experimental results demonstrate that SpeechGPT has an impressive capacity to follow cross-modal human instructions and highlight the potential of handling multiple modalities with one model. Code and models are available in https://github.com/0nutation/SpeechGPT. Demos are shown in https://0nutation.github.io/SpeechGPT.github.io/.","['https://openalex.org/W4385807416', 'https://openalex.org/W4394671563', 'https://openalex.org/W3166396011', 'https://openalex.org/W4367061106', 'https://openalex.org/W4381786045', 'https://openalex.org/W4385570101', 'https://openalex.org/W4385572615', 'https://openalex.org/W4323572061', 'https://openalex.org/W4361866031', 'https://openalex.org/W3140429000', 'https://openalex.org/W4322718246', 'https://openalex.org/W3169320628', 'https://openalex.org/W4310924890', 'https://openalex.org/W4287120025', 'https://openalex.org/W2995181338', 'https://openalex.org/W4307680525', 'https://openalex.org/W4313679638', 'https://openalex.org/W3036601975', 'https://openalex.org/W4224308101', 'https://openalex.org/W3094502228', 'https://openalex.org/W1494198834', 'https://openalex.org/W3168867926', 'https://openalex.org/W4366330503', 'https://openalex.org/W4375958083', 'https://openalex.org/W4361229539', 'https://openalex.org/W3030437843', 'https://openalex.org/W4386384714', 'https://openalex.org/W4377297670', 'https://openalex.org/W4323651091', 'https://openalex.org/W4322718191']",2023-01-01
https://openalex.org/W4389519009,https://doi.org/10.18653/v1/2023.findings-emnlp.704,MRRL: Modifying the Reference via Reinforcement Learning for Non-Autoregressive Joint Multiple Intent Detection and Slot Filling,"With the rise of non-autoregressive approach, some non-autoregressive models for joint multiple intent detection and slot filling have obtained the promising inference speed. However, most existing SLU models (1) suffer from the multi-modality problem that leads to reference intents and slots may not be suitable for training; (2) lack of alignment between the correct predictions of the two tasks, which extremely limits the overall accuracy. Therefore, in this paper, we propose Modifying the Reference via Reinforcement Learning (MRRL), a novel method for multiple intent detection and slot filling, which introduces a modifier and employs reinforcement learning. Specifically, we try to provide the better training target for the non-autoregressive SLU model via modifying the reference based on the output of the non-autoregressive SLU model, and propose a suitability reward to ensure that the output of the modifier module could fit well with the output of the non-autoregressive SLU model and does not deviate too far from the reference. In addition, we also propose a compromise reward to realize a flexible trade-off between the two subtasks. Experiments on two multi-intent datasets and non-autoregressive baselines demonstrate that our MRRL could consistently improve the performance of baselines. More encouragingly, our best variant achieves new state-of-the-art results, outperforming the previous best approach by 3.6 overall accuracy on MixATIS dataset.","['https://openalex.org/W2581637843', 'https://openalex.org/W3161463965', 'https://openalex.org/W4389520437', 'https://openalex.org/W3103899394', 'https://openalex.org/W3034216012', 'https://openalex.org/W3161631007', 'https://openalex.org/W648947103', 'https://openalex.org/W4312426068', 'https://openalex.org/W3209239055', 'https://openalex.org/W4384807869', 'https://openalex.org/W4297733535', 'https://openalex.org/W4382202516', 'https://openalex.org/W4382202608', 'https://openalex.org/W3098800734', 'https://openalex.org/W4386384714', 'https://openalex.org/W4387848696', 'https://openalex.org/W3173794693', 'https://openalex.org/W3099757670', 'https://openalex.org/W2963974889', 'https://openalex.org/W2804945011', 'https://openalex.org/W2963034998', 'https://openalex.org/W4385572615', 'https://openalex.org/W3212491726', 'https://openalex.org/W3170264707', 'https://openalex.org/W2963066655', 'https://openalex.org/W4385571399', 'https://openalex.org/W4378718233', 'https://openalex.org/W3100532071', 'https://openalex.org/W2474111273', 'https://openalex.org/W4224212267', 'https://openalex.org/W4385822432', 'https://openalex.org/W4389519101', 'https://openalex.org/W4238557920', 'https://openalex.org/W4288090877', 'https://openalex.org/W3113593351', 'https://openalex.org/W3162342118', 'https://openalex.org/W4385573070', 'https://openalex.org/W2077302143', 'https://openalex.org/W4298093396', 'https://openalex.org/W4385567042', 'https://openalex.org/W2898637464', 'https://openalex.org/W2888442053', 'https://openalex.org/W4385570101', 'https://openalex.org/W4385567178', 'https://openalex.org/W1522301498', 'https://openalex.org/W2888921503', 'https://openalex.org/W2970450228', 'https://openalex.org/W2971167298', 'https://openalex.org/W4297683418', 'https://openalex.org/W4375868795', 'https://openalex.org/W4385823351', 'https://openalex.org/W2963167310', 'https://openalex.org/W2964071174', 'https://openalex.org/W4382119366', 'https://openalex.org/W4285217170', 'https://openalex.org/W2766371743', 'https://openalex.org/W2803392141', 'https://openalex.org/W4389520050', 'https://openalex.org/W2094472029', 'https://openalex.org/W4287887858', 'https://openalex.org/W3093528669', 'https://openalex.org/W2119717200', 'https://openalex.org/W4224933765', 'https://openalex.org/W2473329891', 'https://openalex.org/W4288346477', 'https://openalex.org/W2946085385', 'https://openalex.org/W1975244201']",2023-01-01
https://openalex.org/W4394583388,https://doi.org/10.1109/ic2pct60090.2024.10486323,Optical Character Recognition Systems for Accurate Interpretation of Handwritten Telugu Scripts,"Visual data dominates the digital landscape these days. However, there remains a significant gap in the digitization of textual content in regional languages such as Telugu. This research addresses this gap and utilizes the capabilities of the programming language and set of specialized libraries pytesseract for optical character recognition (OCR), PIL for image processing and Levenshtein for accuracy evaluation to appropriately extract text from images in the Telugu script. There are several important steps in this project. Initially, this work sets up a dependable system for uploading pictures. Secondly, carefully extracting text from these submitted photos using py-tesseract. Using the Levenshtein distance measure, and then compared with the ground truth to determine correctness. This metric measures the accuracy of the text output through looking at the slight variations between the word error rate (WER) and character error rate (CER). This is capable of finding misspelled words and unknown characters providing a precise evaluation of the OCR's effectiveness. This study also examines the current state of OCR in Telugu text processing and indicates the benefits of current technologies for locating and converting Telugu text discovered in image documents. It also demonstrates improvements in OCR technology.","['https://openalex.org/W2117182510', 'https://openalex.org/W4293493277', 'https://openalex.org/W6774023782', 'https://openalex.org/W3082735848', 'https://openalex.org/W4223415467', 'https://openalex.org/W4205445027', 'https://openalex.org/W6795700344', 'https://openalex.org/W3210847758', 'https://openalex.org/W4307194360', 'https://openalex.org/W3214042726', 'https://openalex.org/W2332561139', 'https://openalex.org/W2140485652', 'https://openalex.org/W2971777065', 'https://openalex.org/W6690217923', 'https://openalex.org/W1993011068', 'https://openalex.org/W6855885476', 'https://openalex.org/W3183597859', 'https://openalex.org/W4386384714', 'https://openalex.org/W4285058206', 'https://openalex.org/W4302344755']",2024-02-09
https://openalex.org/W4401246677,https://doi.org/10.1109/taslp.2024.3436618,SpeechPrompt: Prompting Speech Language Models for Speech Processing Tasks,"Prompting has become a practical method for utilizing pre-trained language\nmodels (LMs). This approach offers several advantages. It allows an LM to adapt\nto new tasks with minimal training and parameter updates, thus achieving\nefficiency in both storage and computation. Additionally, prompting modifies\nonly the LM's inputs and harnesses the generative capabilities of language\nmodels to address various downstream tasks in a unified manner. This\nsignificantly reduces the need for human labor in designing task-specific\nmodels. These advantages become even more evident as the number of tasks served\nby the LM scales up. Motivated by the strengths of prompting, we are the first\nto explore the potential of prompting speech LMs in the domain of speech\nprocessing. Recently, there has been a growing interest in converting speech\ninto discrete units for language modeling. Our pioneer research demonstrates\nthat these quantized speech units are highly versatile within our unified\nprompting framework. Not only can they serve as class labels, but they also\ncontain rich phonetic information that can be re-synthesized back into speech\nsignals for speech generation tasks. Specifically, we reformulate speech\nprocessing tasks into speech-to-unit generation tasks. As a result, we can\nseamlessly integrate tasks such as speech classification, sequence generation,\nand speech generation within a single, unified prompting framework. The\nexperiment results show that the prompting method can achieve competitive\nperformance compared to the strong fine-tuning method based on self-supervised\nlearning models with a similar number of trainable parameters. The prompting\nmethod also shows promising results in the few-shot setting. Moreover, with the\nadvanced speech LMs coming into the stage, the proposed prompting framework\nattains great potential.\n","['https://openalex.org/W4281492411', 'https://openalex.org/W3197580070', 'https://openalex.org/W3189296823', 'https://openalex.org/W4285250921', 'https://openalex.org/W3185341429', 'https://openalex.org/W3098267758', 'https://openalex.org/W6769627184', 'https://openalex.org/W3172642864', 'https://openalex.org/W3153427360', 'https://openalex.org/W3188542058', 'https://openalex.org/W4322766882', 'https://openalex.org/W4386187806', 'https://openalex.org/W4205991051', 'https://openalex.org/W4312651322', 'https://openalex.org/W4226162428', 'https://openalex.org/W6810313920', 'https://openalex.org/W6790356757', 'https://openalex.org/W3198217962', 'https://openalex.org/W4296070387', 'https://openalex.org/W3140429000', 'https://openalex.org/W4385822683', 'https://openalex.org/W2951082691', 'https://openalex.org/W3034999214', 'https://openalex.org/W4295308567', 'https://openalex.org/W4292825791', 'https://openalex.org/W4287887366', 'https://openalex.org/W3209059054', 'https://openalex.org/W6810673746', 'https://openalex.org/W3016181583', 'https://openalex.org/W6780218876', 'https://openalex.org/W3198608154', 'https://openalex.org/W3016011332', 'https://openalex.org/W3015265920', 'https://openalex.org/W3041561163', 'https://openalex.org/W4392909068', 'https://openalex.org/W4392909760', 'https://openalex.org/W2964243274', 'https://openalex.org/W6783867762', 'https://openalex.org/W4381786045', 'https://openalex.org/W6852781825', 'https://openalex.org/W6853530687', 'https://openalex.org/W4297841687', 'https://openalex.org/W4385822890', 'https://openalex.org/W6847363464', 'https://openalex.org/W6752946794', 'https://openalex.org/W4393157525', 'https://openalex.org/W6796456916', 'https://openalex.org/W4385823335', 'https://openalex.org/W4385245566', 'https://openalex.org/W4385567149', 'https://openalex.org/W4285286749', 'https://openalex.org/W6750665317', 'https://openalex.org/W3096251052', 'https://openalex.org/W3108231750', 'https://openalex.org/W3134187040', 'https://openalex.org/W6788231366', 'https://openalex.org/W2972584841', 'https://openalex.org/W6838356808', 'https://openalex.org/W6777335856', 'https://openalex.org/W3160747466', 'https://openalex.org/W6746278845', 'https://openalex.org/W1494198834', 'https://openalex.org/W3161223924', 'https://openalex.org/W3196509775', 'https://openalex.org/W4372260337', 'https://openalex.org/W6917585676', 'https://openalex.org/W2995181338', 'https://openalex.org/W2972495969', 'https://openalex.org/W3180374548', 'https://openalex.org/W4297841405', 'https://openalex.org/W4391021530', 'https://openalex.org/W4372270126', 'https://openalex.org/W4392902623', 'https://openalex.org/W4391021627', 'https://openalex.org/W6857054612', 'https://openalex.org/W4394671563', 'https://openalex.org/W4288089799', 'https://openalex.org/W2797583228']",2024-01-01
https://openalex.org/W4407782501,https://doi.org/10.1109/jbhi.2025.3543968,BAHBench: A Unified Benchmark for Evaluating Bio-Acoustic Health With Acoustic Foundation Models,"Acoustic foundation models, through self-supervised learning on large amounts of unlabeled speech data, can acquire rich acoustic representations. In recent years, these models have demonstrated substantial potential in audio-based health-related tasks, remarkably enhancing the efficiency and quality of healthcare services and contributing to the advancement of smart healthcare. However, there is currently a lack of systematic research and exploration on the performance of acoustic foundation models in health-related tasks. Furthermore, inconsistencies in evaluation methods and experimental setups hinder fair comparisons between different methods, severely impeding progress in this field. To address these challenges, we establish a unified Benchmark for evaluating Bio-Acoustic health via acoustic foundation models, namely BAHBench. BAHBench encompasses 6 distinct health-related tasks and evaluates 12 acoustic foundation models within a unified evaluation framework and parameter settings, enabling fair comparisons across different models. Our objective is to explore the effectiveness of current acoustic foundation models in health-related tasks. Thus, we discuss the impact of model size and data diversity on performance, and investigate feature selection and efficient fine-tuning strategy. Experimental results show that different health-related tasks benefit from features from different layers of the foundation model, while LoRA fine-tuning further enhances the model's performance on downstream tasks. Our goal is to provide clear and comprehensive guidance for future researchers. The code related to this study will be available to the research community to promote transparency and reproducibility.","['https://openalex.org/W4400579821', 'https://openalex.org/W4399489506', 'https://openalex.org/W4360994649', 'https://openalex.org/W3211062931', 'https://openalex.org/W4399154371', 'https://openalex.org/W4392902672', 'https://openalex.org/W4400229026', 'https://openalex.org/W4386248431', 'https://openalex.org/W4365135358', 'https://openalex.org/W3023585707', 'https://openalex.org/W4205860088', 'https://openalex.org/W3011285251', 'https://openalex.org/W3174249533', 'https://openalex.org/W4205687123', 'https://openalex.org/W4297841747', 'https://openalex.org/W4321608155', 'https://openalex.org/W4392903056', 'https://openalex.org/W3107962736', 'https://openalex.org/W4225319493', 'https://openalex.org/W2989852193', 'https://openalex.org/W4372260310', 'https://openalex.org/W6847363464', 'https://openalex.org/W2973049979', 'https://openalex.org/W4388766108', 'https://openalex.org/W3209984917', 'https://openalex.org/W4319878709', 'https://openalex.org/W6870254097', 'https://openalex.org/W4391827429', 'https://openalex.org/W4372260155', 'https://openalex.org/W3163826605', 'https://openalex.org/W4224315877', 'https://openalex.org/W3117926103', 'https://openalex.org/W4386996915', 'https://openalex.org/W3197580070', 'https://openalex.org/W4392902623', 'https://openalex.org/W4404708901', 'https://openalex.org/W4391865211', 'https://openalex.org/W6796581206', 'https://openalex.org/W4394862910', 'https://openalex.org/W6860853044', 'https://openalex.org/W4385245566', 'https://openalex.org/W2896457183', 'https://openalex.org/W6780218876', 'https://openalex.org/W3209059054', 'https://openalex.org/W4392904633', 'https://openalex.org/W3015591594', 'https://openalex.org/W2593116425', 'https://openalex.org/W4391604988', 'https://openalex.org/W4288437714', 'https://openalex.org/W3088067841', 'https://openalex.org/W6801976681', 'https://openalex.org/W1494198834', 'https://openalex.org/W2995181338', 'https://openalex.org/W3119308075', 'https://openalex.org/W3198694222', 'https://openalex.org/W6810007534', 'https://openalex.org/W2399733683', 'https://openalex.org/W6791353385', 'https://openalex.org/W4386223259', 'https://openalex.org/W2559143428', 'https://openalex.org/W2964182121', 'https://openalex.org/W4223646484', 'https://openalex.org/W2018363392', 'https://openalex.org/W3161639065', 'https://openalex.org/W2972301465', 'https://openalex.org/W2052666245', 'https://openalex.org/W3135028703', 'https://openalex.org/W2963652649', 'https://openalex.org/W4391547780', 'https://openalex.org/W3192599558']",2025-02-20
https://openalex.org/W4405547956,https://doi.org/10.32388/758n37,Benchmarking Open-ended Audio Dialogue Understanding for Large Audio-Language Models,"Large Audio-Language Models (LALMs) have unclocked audio dialogue capabilities, where audio dialogues are a direct exchange of spoken language between LALMs and humans. Recent advances, such as GPT-4o, have enabled LALMs in back-and-forth audio dialogues with humans. This progression not only underscores the potential of LALMs but also broadens their applicability across a wide range of practical scenarios supported by audio dialogues. However, given these advancements, a comprehensive benchmark to evaluate the performance of LALMs in the open-ended audio dialogue understanding remains absent currently. To address this gap, we propose an Audio Dialogue Understanding Benchmark (ADU-Bench), which consists of 4 benchmark datasets. They assess the open-ended audio dialogue ability for LALMs in 3 general scenarios, 12 skills, 9 multilingual languages, and 4 categories of ambiguity handling. Notably, we _firstly propose the evaluation of ambiguity handling in audio dialogues_ that expresses different intentions beyond the same literal meaning of sentences, e.g., “Really!?” with different intonations. In summary, ADU-Bench includes over 20,000 open-ended audio dialogues for the assessment of LALMs. Through extensive experiments conducted on 13 LALMs, our analysis reveals that there is still considerable room for improvement in the audio dialogue understanding abilities of existing LALMs. In particular, they struggle with mathematical symbols and formulas, understanding human behavior such as roleplay, comprehending multiple languages, and handling audio dialogue ambiguities from different phonetic elements, such as intonations, pause positions, and homophones.","['https://openalex.org/W4389524500', 'https://openalex.org/W4386552581', 'https://openalex.org/W4388718054', 'https://openalex.org/W4387891768', 'https://openalex.org/W4391021666', 'https://openalex.org/W4391591726', 'https://openalex.org/W4402683976', 'https://openalex.org/W4403556012', 'https://openalex.org/W4402386435', 'https://openalex.org/W3196509775', 'https://openalex.org/W4226444650', 'https://openalex.org/W2030931454', 'https://openalex.org/W2803193013', 'https://openalex.org/W4402684170', 'https://openalex.org/W6852874933', 'https://openalex.org/W4402671584', 'https://openalex.org/W6852447913', 'https://openalex.org/W6856794988', 'https://openalex.org/W4392902623', 'https://openalex.org/W2912924812', 'https://openalex.org/W4385568240', 'https://openalex.org/W4385571440', 'https://openalex.org/W2995929068', 'https://openalex.org/W6803096969', 'https://openalex.org/W4367000491', 'https://openalex.org/W6800166007', 'https://openalex.org/W3083410900', 'https://openalex.org/W2889787757', 'https://openalex.org/W3159959439', 'https://openalex.org/W4384918448', 'https://openalex.org/W1985975449', 'https://openalex.org/W4387321091', 'https://openalex.org/W3034302278', 'https://openalex.org/W3217804443', 'https://openalex.org/W4400375155', 'https://openalex.org/W4397028323', 'https://openalex.org/W4386076050', 'https://openalex.org/W4388726687', 'https://openalex.org/W4391157527', 'https://openalex.org/W4395687052', 'https://openalex.org/W4403571375', 'https://openalex.org/W4399554777']",2024-12-18
https://openalex.org/W4381786045,https://doi.org/10.1109/taslp.2023.3288409,AudioLM: A Language Modeling Approach to Audio Generation,"We introduce AudioLM, a framework for high-quality audio generation with long-term consistency. AudioLM maps the input audio to a sequence of discrete tokens and casts audio generation as a language modeling task in this representation space. We show how existing audio tokenizers provide different trade-offs between reconstruction quality and long-term structure, and we propose a hybrid tokenization scheme to achieve both objectives. Namely, we leverage the discretized activations of a masked language model pre-trained on audio to capture long-term structure and the discrete codes produced by a neural audio codec to achieve high-quality synthesis. By training on large corpora of raw audio waveforms, AudioLM learns to generate natural and coherent continuations given short prompts. When trained on speech, and without any transcript or annotation, AudioLM generates syntactically and semantically plausible speech continuations while also maintaining speaker identity and prosody for unseen speakers. Furthermore, we demonstrate how our approach extends beyond speech by generating coherent piano music continuations, despite being trained without any symbolic representation of music.","['https://openalex.org/W3197259906', 'https://openalex.org/W6840487619', 'https://openalex.org/W6839643428', 'https://openalex.org/W3160799772', 'https://openalex.org/W6739901393', 'https://openalex.org/W6809593508', 'https://openalex.org/W6790356757', 'https://openalex.org/W4292825791', 'https://openalex.org/W2995181338', 'https://openalex.org/W6734901337', 'https://openalex.org/W6802517614', 'https://openalex.org/W3148101939', 'https://openalex.org/W6810081322', 'https://openalex.org/W1494198834', 'https://openalex.org/W4226033575', 'https://openalex.org/W3215615641', 'https://openalex.org/W6755207826', 'https://openalex.org/W2395899413', 'https://openalex.org/W3037038648', 'https://openalex.org/W4287887366', 'https://openalex.org/W3198217962', 'https://openalex.org/W4296068815', 'https://openalex.org/W3097777922', 'https://openalex.org/W3180355996', 'https://openalex.org/W6810311916', 'https://openalex.org/W6776218486', 'https://openalex.org/W4312633146', 'https://openalex.org/W1728888090', 'https://openalex.org/W6778883912', 'https://openalex.org/W6782760101', 'https://openalex.org/W6783867762', 'https://openalex.org/W6767111847', 'https://openalex.org/W6783182287', 'https://openalex.org/W3095095816', 'https://openalex.org/W6783944145', 'https://openalex.org/W4226380987', 'https://openalex.org/W6771324808', 'https://openalex.org/W6798182279', 'https://openalex.org/W3144810982', 'https://openalex.org/W3162391496', 'https://openalex.org/W3209059054', 'https://openalex.org/W6769196770', 'https://openalex.org/W6748409065', 'https://openalex.org/W3131922516', 'https://openalex.org/W6769627184', 'https://openalex.org/W6735849998', 'https://openalex.org/W6762931180', 'https://openalex.org/W2972354707', 'https://openalex.org/W2963182577', 'https://openalex.org/W6843673214', 'https://openalex.org/W6805710207', 'https://openalex.org/W6800767084', 'https://openalex.org/W2752796333', 'https://openalex.org/W6768435317', 'https://openalex.org/W6844194202', 'https://openalex.org/W3186609711', 'https://openalex.org/W6780218876', 'https://openalex.org/W6755182157', 'https://openalex.org/W3198815374', 'https://openalex.org/W4292779060', 'https://openalex.org/W4283388932', 'https://openalex.org/W2604231067', 'https://openalex.org/W4221161768', 'https://openalex.org/W2896457183', 'https://openalex.org/W2996286887', 'https://openalex.org/W2519091744', 'https://openalex.org/W4224308101', 'https://openalex.org/W2995359496', 'https://openalex.org/W4288348042', 'https://openalex.org/W3123097577', 'https://openalex.org/W2963799213', 'https://openalex.org/W4287802874', 'https://openalex.org/W2950547518', 'https://openalex.org/W3129651364', 'https://openalex.org/W4385245566', 'https://openalex.org/W3092028330', 'https://openalex.org/W3177813494', 'https://openalex.org/W2979476256', 'https://openalex.org/W3206395542', 'https://openalex.org/W2593779438', 'https://openalex.org/W4226275767', 'https://openalex.org/W2970006822', 'https://openalex.org/W4309793872', 'https://openalex.org/W3036601975', 'https://openalex.org/W4225680573', 'https://openalex.org/W4394671563', 'https://openalex.org/W4288089799', 'https://openalex.org/W3198123200', 'https://openalex.org/W4294619240', 'https://openalex.org/W4298580827', 'https://openalex.org/W2971074500', 'https://openalex.org/W4297808394']",2023-01-01
