src_key,dst_key,match_type
10889092,chen2022wavlm,arxiv
10889092,fma_dataset,arxiv
10889092,gemmeke2017audio,paperId
10889092,huang2023dynamic,arxiv
10889092,qwen_audio,arxiv
10889092,radford2023robust,arxiv
10889092,salmonn,arxiv
10889092,touvron2023llama,arxiv
1360861705599880960,7178964,paperId
1360861705599880960,ardila2019common,arxiv
1360861705599880960,baevski2020wav2vec,arxiv
1360861705599880960,chen2022wavlm,arxiv
1360861705599880960,hsu2021hubert,arxiv
Ahn2024HILCodecHA,Kleijn2018wavenet,arxiv
Ahn2024HILCodecHA,bogdanov2019mtg,paperId
Ahn2024HILCodecHA,defossez2022high,arxiv
Ahn2024HILCodecHA,dietz2015overview,paperId
Ahn2024HILCodecHA,du2023funcodec,arxiv
Ahn2024HILCodecHA,kankanahalli2018end,arxiv
Ahn2024HILCodecHA,kong2020hifigan,arxiv
Ahn2024HILCodecHA,kumar2023high,arxiv
Ahn2024HILCodecHA,oord2016wavenet,arxiv
Ahn2024HILCodecHA,painter2000perceptual,paperId
Ahn2024HILCodecHA,prenger2018waveglow,arxiv
Ahn2024HILCodecHA,valin2019lpcnet,paperId
Ahn2024HILCodecHA,vqvae2017,arxiv
Ahn2024HILCodecHA,wu2023audiodec,arxiv
Ahn2024HILCodecHA,yamagishi2019cstr,paperId
Ahn2024HILCodecHA,yang2023hifi,arxiv
Ahn2024HILCodecHA,zeghidour2021soundstream,arxiv
DevlinCLT19,transformer,arxiv
GoodBengCour16,oord2016wavenet,arxiv
GoodBengCour16,srivastava2014dropout,paperId
Guo2024AddressingIC,defossez2022high,arxiv
Guo2024AddressingIC,garbacea2019low,arxiv
Guo2024AddressingIC,gpt,arxiv
Guo2024AddressingIC,hassid2023textually,arxiv
Guo2024AddressingIC,hsu2021hubert,arxiv
Guo2024AddressingIC,huang2023repcodec,paperId
Guo2024AddressingIC,kuan2023towards,arxiv
Guo2024AddressingIC,mentzer2023finite,arxiv
Guo2024AddressingIC,touvron2023llama,arxiv
Guo2024AddressingIC,vqvae2017,arxiv
Guo2024AddressingIC,wang2023lmvc,arxiv
Guo2024AddressingIC,wang2023neural,arxiv
Guo2024AddressingIC,wu2023speechgen,arxiv
Guo2024AddressingIC,zhang2023speechtokenizer,arxiv
Guo2024LSCodecLA,Wu2024TS3CodecTS,arxiv
Guo2024LSCodecLA,baevski2020wav2vec,arxiv
Guo2024LSCodecLA,chen2022wavlm,arxiv
Guo2024LSCodecLA,defossez2022high,arxiv
Guo2024LSCodecLA,gulati_conformer,arxiv
Guo2024LSCodecLA,guo2025recent,arxiv
Guo2024LSCodecLA,hsu2021hubert,arxiv
Guo2024LSCodecLA,ji2024wavtokenizer,arxiv
Guo2024LSCodecLA,jiang2023disentangled,arxiv
Guo2024LSCodecLA,ju2024naturalspeech,arxiv
Guo2024LSCodecLA,kong2020hifigan,arxiv
Guo2024LSCodecLA,kumar2023high,arxiv
Guo2024LSCodecLA,li2024single,arxiv
Guo2024LSCodecLA,liu2024semanticodec,arxiv
Guo2024LSCodecLA,mousavi2024dasb,arxiv
Guo2024LSCodecLA,parker2024scaling,arxiv
Guo2024LSCodecLA,ren2024ticodec,arxiv
Guo2024LSCodecLA,shi2024mmm,arxiv
Guo2024LSCodecLA,siuzdak2023vocos,arxiv
Guo2024LSCodecLA,snyder2018x,paperId
Guo2024LSCodecLA,vqvae2017,arxiv
Guo2024LSCodecLA,wang2023neural,arxiv
Guo2024LSCodecLA,yang2021superb,arxiv
Guo2024LSCodecLA,yang2023towards,arxiv
Guo2024LSCodecLA,yang2023uniaudio,paperId
Guo2024LSCodecLA,yang2024uniaudio,paperId
Guo2024LSCodecLA,zen2019libritts,paperId
JMLR:v24:22-1144,devlin2019bert,arxiv
JMLR:v24:22-1144,gpt,arxiv
JMLR:v24:22-1144,mostafazadeh2016corpus,paperId
JMLR:v24:22-1144,raffel2020exploring,arxiv
JMLR:v24:22-1144,transformer,arxiv
Jang2016Gumbel,maddison2016concrete,arxiv
Ji2024LanguageCodecRT,7178964,paperId
Ji2024LanguageCodecRT,Ahn2024HILCodecHA,arxiv
Ji2024LanguageCodecRT,ardila2019common,arxiv
Ji2024LanguageCodecRT,chen2022wavlm,arxiv
Ji2024LanguageCodecRT,dietz2015overview,paperId
Ji2024LanguageCodecRT,du2023funcodec,arxiv
Ji2024LanguageCodecRT,gpt,arxiv
Ji2024LanguageCodecRT,hsu2021hubert,arxiv
Ji2024LanguageCodecRT,kharitonov2023speak,arxiv
