key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
atal1970speech,Speech Analysis and Synthesis by Linear Prediction of the Speech Wave,C,semantic_scholar,d738cfd0354ec9e70849057d5c2f20524a81e55a,,,d738cfd0354ec9e70849057d5c2f20524a81e55a
schroeder1985code,Code-excited linear prediction(CELP): High-quality speech at very low bit rates,C,semantic_scholar,02876a3eb2ffe88cadfbc9ac779f272ccdc6f91a,,,02876a3eb2ffe88cadfbc9ac779f272ccdc6f91a
tian2025espnet,ESPnet-SpeechLM: An Open Speech Language Model Toolkit,B,semantic_scholar,6245784c904ca849d4ac5b92de4878ee633997dd,,,6245784c904ca849d4ac5b92de4878ee633997dd
hayashi2020discretalk,DiscreTalk: Text-to-Speech as a Machine Translation Problem,B,arxiv,2005.05525v1,2005.05525,,8ae392fc9acbada67a4288a6affc2a77f83befcd
vqvae2017,Neural Discrete Representation Learning,B,arxiv,1711.00937v2,1711.00937,,f466157848d1a7772fb6d02cdac9a7a5e7ef982e
zeghidour2021soundstream,SoundStream: An End-to-End Neural Audio Codec,A,arxiv,2107.03312v1,2107.03312,,59a0ef2d3bccebb544a2df4ad0453d49cc8e731f
shi2024versa,"VERSA: A Versatile Evaluation Toolkit for Speech, Audio, and Music",B,arxiv,2412.17667v2,2412.17667,,bb739ecaa5d88a51b1cf61ff77c89942db9bdb26
wu2024towards,Towards audio language modeling -- an overview,B,arxiv,2402.13236v1,2402.13236,,53b6995fd82b4f14fcc198d519843bc0f4cb7c1f
jiang2023disentangled,Disentangled Feature Learning for Real-Time Neural Speech Coding,A,arxiv,2211.11960v2,2211.11960,,30bdd61373264b393b2aead1e6c4b18cf6599148
lakhotia2021generative,On Generative Spoken Language Modeling from Raw Audio,B,semantic_scholar,7c39adb2049e79951dd6b92c970abaa4d81819b1,,,7c39adb2049e79951dd6b92c970abaa4d81819b1
wu2023speechgen,SpeechGen: Unlocking the Generative Power of Speech Language Models with Prompts,B,arxiv,2306.02207v3,2306.02207,,49f4ce7a3e5f060b4012a165cc4ab416e4b3fd0b
zhen2020psychoacoustic,Psychoacoustic Calibration of Loss Functions for Efficient End-to-End Neural Audio Coding,A,arxiv,2101.00054v1,2101.00054,,dfdfc301a646b7e98deb31a272e120be3ee5a449
garbacea2019low,Low Bit-Rate Speech Coding with VQ-VAE and a WaveNet Decoder,A,arxiv,1910.06464v1,1910.06464,,f870e04e2fc3864d6b863446606a2697aba4790c
jang2024personalized,Personalized Neural Speech Codec,A,arxiv,2404.00791v1,2404.00791,,70620962099ab88d984a2884f6a9d13e57fc8d2f
Kleijn2018wavenet,Wavenet based low rate speech coding,A,arxiv,1712.01120v1,1712.01120,,d250fc92d4d29923f968ef3b60b2ceb92808712e
valin2019real,A Real-Time Wideband Neural Vocoder at 1.6 kb/s Using LPCNet,C,arxiv,1903.12087v2,1903.12087,,75b1934626e05bc295e57517a915e40b9908f1ee
valin2019lpcnet,LPCNET: Improving Neural Speech Synthesis through Linear Prediction,C,semantic_scholar,da7329db3e14cb7301e9ce95a131136bd85e24ba,,,da7329db3e14cb7301e9ce95a131136bd85e24ba
yang2023neural,Neural Feature Predictor and Discriminative Residual Coding for Low-Bitrate Speech Coding,A,arxiv,2211.02506v1,2211.02506,,9b72a0f3be2062ec141e4dc9f4c983d76f52969b
