src_key,dst_key,match_type
CoT,FLAN,arxiv
CoT,bert,arxiv
CoT,bigbench,arxiv
CoT,brown2020language,arxiv
CoT,ouyang2022training,arxiv
CoT,prompt1,arxiv
FLAN,CoT,arxiv
FLAN,bert,arxiv
FLAN,brown2020language,arxiv
FLAN,joshi2017triviaqa,arxiv
FLAN,mostafazadeh2016corpus,paperId
FLAN,ouyang2022training,arxiv
FLAN,prompt1,arxiv
FLAN,zellers2019hellaswag,arxiv
Flow-Omni,chu2024qwen2audio,arxiv
Flow-Omni,cui2024recentadvancesspeechlanguage,arxiv
Flow-Omni,defossezmoshi,arxiv
Flow-Omni,fang2024llama,paperId
Flow-Omni,ji2024wavchat,arxiv
Flow-Omni,kong2020hifi,arxiv
Flow-Omni,ma2024languagemodellistenspeaking,paperId
Flow-Omni,nachmani2023spoken,arxiv
Flow-Omni,wang2023neural,arxiv
Flow-Omni,wang2024freezeomnismartlowlatency,arxiv
Flow-Omni,whisper,arxiv
Flow-Omni,xie2024mini,arxiv
Flow-Omni,xie2024mini2,paperId
Flow-Omni,zhang2023speechgpt,arxiv
Flow-Omni,zhang2025omniflattenendtoendgptmodel,arxiv
GSLM,bert,arxiv
GSLM,brown2020language,arxiv
GSLM,kong2020hifi,arxiv
GSLM,polyak21_interspeech,arxiv
GSLM,shen2018natural,arxiv
GSLM,van2017neural,arxiv
GSLM,warstadt2020blimp,doi
GSLM,wav2vec2,arxiv
aBPE,GSLM,paperId
aBPE,bert,arxiv
aBPE,hubert,arxiv
aBPE,kharitonov2023speak,arxiv
aBPE,shen2018natural,arxiv
aBPE,wav2vec2,arxiv
aBPE,wavlm,arxiv
agostinelli2023musiclm,audiolm,arxiv
agostinelli2023musiclm,bert,arxiv
agostinelli2023musiclm,brown2020language,arxiv
agostinelli2023musiclm,soundstream,arxiv
agostinelli2023musiclm,van2017neural,arxiv
airbench,blsp,arxiv
airbench,brown2020language,arxiv
airbench,chu2023qwen,arxiv
airbench,huang2024dynamic,arxiv
airbench,shu2023llasm,arxiv
airbench,touvron2023llama2,arxiv
airbench,wang2023slm,arxiv
airbench,whisper,arxiv
airbench,wu2023decoder,arxiv
airbench,zhang2023speechgpt,arxiv
airbench,zheng2023judging,arxiv
algayres2022speech,GSLM,paperId
algayres2022speech,hubert,arxiv
algayres2022speech,polyak21_interspeech,arxiv
algayres2022speech,wav2vec2,arxiv
an2024funaudiollm,bai2023qwen,arxiv
an2024funaudiollm,chu2023qwen,arxiv
an2024funaudiollm,du2024cosyvoice,arxiv
an2024funaudiollm,encodec,arxiv
an2024funaudiollm,geminiteam2024gemini15unlockingmultimodal,arxiv
an2024funaudiollm,gpt4,arxiv
an2024funaudiollm,hubert,arxiv
an2024funaudiollm,soundstream,arxiv
an2024funaudiollm,tang2023salmonn,arxiv
an2024funaudiollm,touvron2023llama,arxiv
an2024funaudiollm,wang2023neural,arxiv
an2024funaudiollm,whisper,arxiv
an2024funaudiollm,xue2024chat,arxiv
anygpt,agostinelli2023musiclm,arxiv
