key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
agostinelli2023musiclm,MusicLM: Generating Music From Text,U,arxiv,2301.11325v1,2301.11325,,428854d9e75f94f0e61f37c6887c77800437d516
algayres2022speech,Speech Sequence Embeddings using Nearest Neighbors Contrastive Learning,U,arxiv,2204.05148v2,2204.05148,,fbb74ee838dbe83cb58cd8751e671c5ff6466dea
tGSLM,Generative Spoken Language Model based on continuous word-sized audio tokens,U,arxiv,2310.05224v1,2310.05224,,2d5ef1d6b631ac7ee0ae87e480381407c11b9fb2
an2024funaudiollm,FunAudioLLM: Voice Understanding and Generation Foundation Models for Natural Interaction Between Humans and LLMs,U,arxiv,2407.04051v3,2407.04051,,be44334ac2345ff0d39fd79adde74d45123832ca
ao2024sd,SD-Eval: A Benchmark Dataset for Spoken Dialogue Understanding Beyond Words,U,arxiv,2406.13340v2,2406.13340,,2fddf16c0a5092f0c8f804fdeb0038996766c385
arora2023universlu,UniverSLU: Universal Spoken Language Understanding for Diverse Tasks with Natural Language Instructions,U,arxiv,2310.02973v2,2310.02973,,90b3d99afa310548d6a2d9c9ab1cacd09097404c
wav2vec2,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,U,arxiv,2006.11477v3,2006.11477,,49a049dc85e2380dde80501a984878341dd8efdf
bai2023qwen,Qwen Technical Report,U,arxiv,2309.16609v1,2309.16609,,5fc1a3a49e8f1d106118b69d1d6be3b6caa23da0
berant2013semantic,Semantic Parsing on Freebase from Question-Answer Pairs,U,semantic_scholar,b29447ba499507a259ae9d8f685d60cc1597d7d3,,,b29447ba499507a259ae9d8f685d60cc1597d7d3
audiolm,AudioLM: a Language Modeling Approach to Audio Generation,U,arxiv,2209.03143v2,2209.03143,,8c870bef01a4fbb20f60722ffc2f6bee3870b18b
borsos2023soundstorm,SoundStorm: Efficient Parallel Audio Generation,U,arxiv,2305.09636v1,2305.09636,,2183c88e9056e931b07d48f1dc44360785952073
brown2020language,Language Models are Few-Shot Learners,U,arxiv,2005.14165v4,2005.14165,,90abbc2cf38462b954ae1b772fac9532e2ccd8b0
chan2016listen,"Listen, Attend and Spell",U,arxiv,1508.01211v2,1508.01211,,3056add22b20e3361c38c0472d294a79d4031cb4
chang2022maskgit,MaskGIT: Masked Generative Image Transformer,U,arxiv,2202.04200v1,2202.04200,,7c597874535c1537d7ddff3b3723015b4dc79d30
chang2024speechprompt,SpeechPrompt: Prompting Speech Language Models for Speech Processing Tasks,U,arxiv,2408.13040v1,2408.13040,,c62ec2d7020f1028c5eefde3d27e2fff0722a600
chen2023x,X-LLM: Bootstrapping Advanced Large Language Models by Treating Multi-Modalities as Foreign Languages,U,arxiv,2305.04160v3,2305.04160,,43e6e8d6663d83f1b74cf5a2be7b040b0928f867
chen2024next,Next Token Prediction Towards Multimodal Intelligence: A Comprehensive Survey,U,arxiv,2412.18619v2,2412.18619,,fa1e50a8bcc0bd771d5b8f0ac7366dbbea7b282b
chen2025minmo,MinMo: A Multimodal Large Language Model for Seamless Voice Interaction,U,arxiv,2501.06282v1,2501.06282,,f2b130da01072d67d3f0a87a7f185acc36d5d4e4
wavlm,WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,U,arxiv,2110.13900v5,2110.13900,,416dab850fda842b13a4f28164514d98f836fff7
wang2023neural,Neural Codec Language Models are Zero-Shot Text to Speech Synthesizers,U,arxiv,2301.02111v1,2301.02111,,c2f91f35df893714418cc29096083dce0b441229
chen2024slam,SLAM-Omni: Timbre-Controllable Voice Interaction System with Single-Stage Training,U,arxiv,2412.15649v1,2412.15649,,b20842d05f3319790b49dc73d002911fec41cc7f
chen2024voicebench,VoiceBench: Benchmarking LLM-Based Voice Assistants,U,arxiv,2410.17196v3,2410.17196,,fea901c4c075dc268fb3f3124dec01443ae2cc2a
chen2024salm,SALM: Speech-augmented Language Model with In-context Learning for Speech Recognition and Translation,U,arxiv,2310.09424v1,2310.09424,,1533c2cbfa402f7f6caf0d126be7864795afbe9d
bestow2024chen,BESTOW: Efficient and Streamable Speech Language Model with the Best of Two Worlds in GPT and T5,U,arxiv,2406.19954v1,2406.19954,,635deabb5d38f199c6fa8c7ec2e0f5610f4df436
chou2023toward,Toward Joint Language Modeling for Speech Units and Text,U,arxiv,2310.08715v1,2310.08715,,d194527e6169af0598f00c0724b30f8d363d39fa
chu2023qwen,Qwen-Audio: Advancing Universal Audio Understanding via Unified Large-Scale Audio-Language Models,U,arxiv,2311.07919v2,2311.07919,,f90595f99a0c66d2bb6d0f230f17c7cd8c58f44d
chu2024qwen2audio,Qwen2-Audio Technical Report,U,arxiv,2407.10759v1,2407.10759,,8ca1fdca69d780881f905ef9a4612e62f49a1014
copet2024simple,Simple and Controllable Music Generation,U,arxiv,2306.05284v3,2306.05284,,4cc8e18f5eece0b0d8e1abcb8ee10fb33680fbb2
scaling-slms,Scaling Properties of Speech Language Models,U,arxiv,2404.00685v2,2404.00685,,a7eeee0df79da5662e7329d9710e97da032c3108
cui2024recentadvancesspeechlanguage,Recent Advances in Speech Language Models: A Survey,U,arxiv,2410.03751v4,2410.03751,,4d77e3192d1246d6247dc62d418a5d17b95a1f73
das2024speechverse,SpeechVerse: A Large-scale Generalizable Audio Language Model,U,arxiv,2405.08295v3,2405.08295,,2d60ebb118d966391b275b5c285bab5dc80bfa8f
de2023prosaudit,"ProsAudit, a prosodic benchmark for self-supervised speech models",U,arxiv,2302.12057v3,2302.12057,,75ef5877acbd3fff7bce0af51dadfa42f6e4c9c0
encodec,High Fidelity Neural Audio Compression,U,arxiv,2210.13438v1,2210.13438,,cdcfeb447fa8554c131c0a13a7ffcba30c0381e1
defossezmoshi,Moshi: a speech-text foundation model for real-time dialogue,U,arxiv,2410.00037v2,2410.00037,,ae4aa7b0c5a327dae63ad20e00b58bcc6176b3b8
wav2prompt,Wav2Prompt: End-to-End Speech Prompt Generation and Tuning For LLM in Zero and Few-shot Learning,U,arxiv,2406.00522v1,2406.00522,,18851818721bf358cfea2731abf3fcac84c13ac4
bert,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,U,arxiv,1810.04805v2,1810.04805,,df2b0e26d0599ce3e70df8a9da02e51594e0e992
usm-lite,USM-Lite: Quantization and Sparsity Aware Fine-tuning for Speech Recognition with Universal Speech Models,U,arxiv,2312.08553v3,2312.08553,,d8799a2d06e4ecd3df91ff1d5c997a64a748d0a1
du2024cosyvoice,CosyVoice: A Scalable Multilingual Zero-shot Text-to-speech Synthesizer based on Supervised Semantic Tokens,U,arxiv,2407.05407v2,2407.05407,,09042877c369a9224d094c37b403735a23368316
dunbar2021zero,The Zero Resource Speech Challenge 2021: Spoken language modelling,U,arxiv,2104.14700v2,2104.14700,,2a500dae25af18424997733df2e1600250293f40
ekstedt-skantze-2020-turngpt,TurnGPT: a Transformer-based Language Model for Predicting Turn-taking in Spoken Dialog,U,arxiv,2010.10874v1,2010.10874,,97b0689d937a622c37726a10b911a60a89f146d8
fan2024alignformer,AlignFormer: Modality Matching Can Achieve Better Zero-shot Instruction-Following Speech-LLM,U,arxiv,2412.01145v2,2412.01145,,4b974bbe649adccdaec4c69e0788990ef3a1cd43
fang2024llama,LLaMA-Omni: Seamless Speech Interaction with Large Language Models,U,semantic_scholar,218ddd5ca9e959c91ad6b48a379397e4cb0d47d8,,,218ddd5ca9e959c91ad6b48a379397e4cb0d47d8
audiochatllama,AudioChatLlama: Towards General-Purpose Speech Abilities for LLMs,U,semantic_scholar,e4a9a026a40a58cee4d6509d2ef817a86a11a760,,,e4a9a026a40a58cee4d6509d2ef817a86a11a760
gaido2021ctc,CTC-based Compression for Direct Speech Translation,U,semantic_scholar,62316c538d3d9dcb6ae8a3567433f7417eab1f32,,,62316c538d3d9dcb6ae8a3567433f7417eab1f32
gao2022wavprompt,WAVPROMPT: Towards Few-Shot Spoken Language Understanding with Frozen Language Models,U,arxiv,2203.15863v2,2203.15863,,f8cf6c42d48326ff7ae172c5e555178d440bf7cb
geminiteam2024gemini15unlockingmultimodal,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,U,arxiv,2403.05530v5,2403.05530,,c811bedbe8f4c21d0cba9f9175f7c2eb203284a7
team2024gemma,Gemma: Open Models Based on Gemini Research and Technology,U,arxiv,2403.08295v4,2403.08295,,b842b83a7ff5dff8e3b83915d8c15423b6085728
gong2023whisperat,Whisper-AT: Noise-Robust Automatic Speech Recognizers are Also Strong General Audio Event Taggers,U,arxiv,2307.03183v1,2307.03183,,98bd673440c579bcca2d434bca86f97c9b40c74c
gong2023joint,Joint Audio and Speech Understanding,U,arxiv,2309.14405v3,2309.14405,,c14db8b4c1bd65a18a604236cdbc3549ee75f3bd
gong2023listen,"Listen, Think, and Understand",U,arxiv,2305.10790v3,2305.10790,,4bb0b12803791764d641a4cef1e0ce39cf049542
llama3,The Llama 3 Herd of Models,U,arxiv,2407.21783v3,2407.21783,,40e8af970329135ec95057d73e239dab805ad128
gu2021efficiently,Efficiently Modeling Long Sequences with Structured State Spaces,U,arxiv,2111.00396v3,2111.00396,,ac2618b2ce5cdcf86f9371bcca98bc5e37e46f51
guo2025recent,Recent Advances in Discrete Speech Tokens: A Review,U,arxiv,2502.06490v4,2502.06490,,4f02bdf2229fd96afdf382b23dace98485fd7d7f
twist,Textually Pretrained Speech Language Models,U,arxiv,2305.13009v3,2305.13009,,4a7855ec905faedfa68235b6f3966d8269f03d18
